time,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
2023-08-09 12:37:45-04:00,0.0,0.8618167042732239,12.64353370666504,12.057886123657228,0.0,0.0,65.44687616925147,-75.08315780740286,40.182190879527845
2023-08-09 12:37:46-04:00,0.0,0.7794222235679626,6.076403617858887,6.638463973999023,0.0,0.0,70.65094622440098,-75.08317361541081,40.182092818552526
2023-08-09 12:37:47-04:00,0.0,20.0,6.867760181427002,8.252755165100098,0.0,0.0,71.0898922402189,-75.08316879908965,40.182086245378656
2023-08-09 12:37:48-04:00,0.0,20.0,6.584315299987793,7.183884620666504,0.0,0.0,70.73853799247057,-75.08317558598883,40.18209498455716
2023-08-09 12:37:49-04:00,0.0,0.2699802219867706,6.162787437438965,5.945004940032959,0.0,0.0,70.07840078836335,-75.08317459821679,40.182098100544295
2023-08-09 12:37:50-04:00,0.0,20.0,6.051835536956787,5.629839897155762,0.0,0.0,69.5404810535297,-75.083169850831,40.182093566363
2023-08-09 12:37:51-04:00,13.466317176818848,0.5373023152351379,5.889793395996094,5.840320587158203,1.965477466583252,218.4664764404297,68.69506909392436,-75.08317629366725,40.18208048423073
2023-08-09 12:37:52-04:00,10.0,0.7110780477523804,5.805435657501221,6.107614040374756,3.4718246459960938,217.31320190429688,68.25426921732114,-75.0832004961618,40.18204936268806
2023-08-09 12:37:53-04:00,10.0,0.7194127440452576,5.82451057434082,5.713667392730713,4.816292762756348,216.24267578125,68.4871396538277,-75.0832396525983,40.18200195558381
2023-08-09 12:37:54-04:00,10.0,0.7285411357879639,5.824049949645996,5.476591110229492,6.325443744659424,214.66534423828125,69.18992602511236,-75.08328578969274,40.18194534696744
2023-08-09 12:37:55-04:00,10.0,0.5219870805740356,5.791489124298096,5.644694805145264,7.418179035186768,216.1416473388672,68.0642776184978,-75.08334652114003,40.18188024643179
2023-08-09 12:37:56-04:00,10.0,0.5969803929328918,5.818437099456787,5.786895751953125,9.40538215637207,213.84962463378903,67.64830755404942,-75.08341733373547,40.181800929844
2023-08-09 12:37:57-04:00,10.0,0.5640566349029541,5.847849845886231,5.815587997436523,10.40588665008545,216.9117431640625,66.98834266300958,-75.08350090297766,40.18170968076605
2023-08-09 12:37:58-04:00,10.0,0.4212945103645324,5.867584228515625,5.785921573638916,12.705300331115724,217.41830444335932,66.47016552771609,-75.0835999606479,40.18160718918313
2023-08-09 12:37:59-04:00,10.0,0.3739163279533386,5.927671432495117,5.752755165100098,13.859935760498049,217.9003448486328,66.18739105512404,-75.08370599171108,40.18149913025343
2023-08-09 12:38:00-04:00,10.0,0.2940605580806732,5.920269966125488,5.631991863250732,13.897051811218262,217.6135406494141,65.83222234373677,-75.08381939234755,40.1813877300139
2023-08-09 12:38:01-04:00,10.0,0.0228168629109859,5.734317779541016,5.136843204498291,13.904159545898438,217.7642364501953,65.87905711898719,-75.08393134091793,40.18127369842849
2023-08-09 12:38:02-04:00,10.0,0.2703973948955536,5.5988359451293945,4.7943315505981445,13.84249496459961,217.58258056640625,65.7624684055845,-75.08404632529914,40.18115550753798
2023-08-09 12:38:03-04:00,10.0,0.3209804892539978,5.512572765350342,4.61731481552124,13.765597343444824,217.6292266845703,65.43096447413636,-75.08415538277704,40.18104579363947
2023-08-09 12:38:04-04:00,10.0,0.0292805414646863,5.3357439041137695,4.270185947418213,13.71235179901123,217.4090881347656,65.1311148097792,-75.08425838554685,40.18093916409787
2023-08-09 12:38:05-04:00,10.0,0.2052888572216034,5.194512844085693,4.405032634735107,13.577649116516112,217.3165740966797,65.06061752073408,-75.08436194136102,40.18083468075807
2023-08-09 12:38:06-04:00,10.0,0.2119900733232498,5.053979873657227,4.4053635597229,13.461530685424805,217.21160888671875,64.83965341558111,-75.08446073349398,40.180734864795305
2023-08-09 12:38:07-04:00,1.0,0.1995753049850464,4.903863906860352,4.405694007873535,13.173830032348633,217.65985107421875,64.64843163526977,-75.08456151138147,40.18063627250071
2023-08-09 12:38:08-04:00,1.1415804624557495,0.2659559249877929,4.765769004821777,4.167593955993652,12.756915092468262,218.42547607421875,64.10121861364088,-75.08465664636617,40.180544361776725
2023-08-09 12:38:09-04:00,1.1748629808425903,0.2645939588546753,4.642112731933594,4.16775369644165,12.361406326293944,219.469970703125,64.35739232442998,-75.08475185087445,40.18045470424286
2023-08-09 12:38:10-04:00,1.2281627655029297,0.2639366388320923,4.525750637054443,4.167913913726807,11.797428131103516,219.03565979003903,64.40697932500166,-75.08484129008897,40.18037132241752
2023-08-09 12:38:11-04:00,1.3258633613586426,0.2662740349769592,4.42620325088501,4.168073654174805,11.028202056884766,218.2333068847656,64.34608980041105,-75.08492359825108,40.18029096341268
2023-08-09 12:38:12-04:00,1.4218319654464722,0.2651375234127044,4.320358753204346,4.168233394622803,10.216192245483398,218.1638336181641,63.967200142889496,-75.0850010383046,40.18021896325429
2023-08-09 12:38:13-04:00,1.534244418144226,0.2667355835437774,4.21086311340332,4.168393135070801,9.532536506652832,217.88995361328125,63.88716176080115,-75.08507109515743,40.18014997234078
2023-08-09 12:38:14-04:00,1.6245794296264648,0.2646570205688476,4.1063432693481445,4.408009052276611,8.88456916809082,218.5763702392578,63.73043162015307,-75.08513709016819,40.18008730118073
2023-08-09 12:38:15-04:00,1.750454068183899,0.2610750198364258,4.006211280822754,4.408339977264404,8.13709545135498,218.51095581054688,63.68499036281334,-75.08519895878689,40.180028515220926
