time,relativeAltitude,pressure
2023-08-04 17:47:58-04:00,0.2608498467339409,1007.757320827908
2023-08-04 17:47:59-04:00,0.2778601837158203,1007.7553308105468
2023-08-04 17:48:00-04:00,0.3133724975585937,1007.7510388183592
2023-08-04 17:48:01-04:00,0.3193965911865234,1007.750362548828
2023-08-04 17:48:02-04:00,0.2970429992675781,1007.7530249023438
2023-08-04 17:48:03-04:00,0.3185514068603515,1007.750438232422
2023-08-04 17:48:04-04:00,0.3037548065185546,1007.7522399902344
2023-08-04 17:48:05-04:00,0.29884033203125,1007.7528051757812
2023-08-04 17:48:06-04:00,0.3089861297607421,1007.7516027832032
2023-08-04 17:48:07-04:00,0.3364661407470703,1007.7483044433594
2023-08-04 17:48:08-04:00,0.3480921936035156,1007.746904296875
2023-08-04 17:48:09-04:00,0.3390024566650391,1007.7480114746094
2023-08-04 17:48:10-04:00,0.3305474090576172,1007.749013671875
2023-08-04 17:48:11-04:00,0.4075428771972656,1007.7398071289062
2023-08-04 17:48:12-04:00,0.3545388793945312,1007.7461291503906
2023-08-04 17:48:13-04:00,0.3808562469482421,1007.7430004882812
2023-08-04 17:48:14-04:00,0.4293152618408203,1007.7372058105468
2023-08-04 17:48:15-04:00,0.4593846893310547,1007.7335986328123
2023-08-04 17:48:16-04:00,0.3654251861572266,1007.7448193359374
2023-08-04 17:48:17-04:00,0.4359739685058594,1007.73640625
2023-08-04 17:48:18-04:00,0.437083740234375,1007.7362817382811
2023-08-04 17:48:19-04:00,0.5251771545410157,1007.7257543945312
2023-08-04 17:48:20-04:00,0.5923966979980468,1007.7176879882812
2023-08-04 17:48:21-04:00,0.6358883666992188,1007.7125048828124
2023-08-04 17:48:22-04:00,0.6227298736572265,1007.71408203125
2023-08-04 17:48:23-04:00,0.6635794830322266,1007.7092004394532
2023-08-04 17:48:24-04:00,0.7231889343261719,1007.7020349121094
2023-08-04 17:48:25-04:00,0.6654821014404297,1007.7089575195312
2023-08-04 17:48:26-04:00,0.6215673065185547,1007.7142163085938
2023-08-04 17:48:27-04:00,0.5508070373535157,1007.7227014160156
2023-08-04 17:48:28-04:00,0.4802584838867187,1007.7311206054688
2023-08-04 17:48:29-04:00,0.2547666931152343,1007.7581140136718
2023-08-04 17:48:30-04:00,0.0230924987792968,1007.7857946777344
2023-08-04 17:48:31-04:00,-0.2633302307128906,1007.8200231933594
2023-08-04 17:48:32-04:00,-0.6329314422607422,1007.8642419433594
2023-08-04 17:48:33-04:00,-1.0615082550048829,1007.915498046875
2023-08-04 17:48:34-04:00,-1.2332562255859374,1007.9360534667968
2023-08-04 17:48:35-04:00,-1.50736572265625,1007.9688415527344
2023-08-04 17:48:36-04:00,-1.8509140777587887,1008.0099243164062
2023-08-04 17:48:37-04:00,-2.223950424194336,1008.0545385742188
2023-08-04 17:48:38-04:00,-2.4383444213867187,1008.0801892089844
2023-08-04 17:48:39-04:00,-2.3745068359375,1008.0725561523436
2023-08-04 17:48:40-04:00,-2.24281623840332,1008.056785888672
2023-08-04 17:48:41-04:00,-1.9325074768066408,1008.0196655273436
2023-08-04 17:48:42-04:00,-1.9354141235351563,1008.0200146484376
2023-08-04 17:48:43-04:00,-2.082007522583008,1008.0375634765624
2023-08-04 17:48:44-04:00,-2.2494746398925782,1008.0575756835938
2023-08-04 17:48:45-04:00,-2.596986618041992,1008.0991467285156
2023-08-04 17:48:46-04:00,-2.7948399353027344,1008.1228137207032
2023-08-04 17:48:47-04:00,-2.6738238525390625,1008.1083435058594
2023-08-04 17:48:48-04:00,-2.5215232086181643,1008.0901245117188
2023-08-04 17:48:49-04:00,-2.2698731231689453,1008.0600439453124
2023-08-04 17:48:50-04:00,-2.201808242797852,1008.0518701171876
2023-08-04 17:48:51-04:00,-2.0420561981201173,1008.0327795410157
2023-08-04 17:48:52-04:00,-1.788926467895508,1008.0024987792968
2023-08-04 17:48:53-04:00,-1.4730160522460938,1007.9647204589844
2023-08-04 17:48:54-04:00,-1.2247476959228516,1007.9350170898438
2023-08-04 17:48:55-04:00,-0.9610491943359376,1007.9035131835938
2023-08-04 17:48:56-04:00,-0.9839839935302734,1007.90625
2023-08-04 17:48:57-04:00,-0.7534720611572265,1007.8786706542968
2023-08-04 17:48:58-04:00,-0.7814800262451171,1007.8820104980468
2023-08-04 17:48:59-04:00,-0.7909395599365234,1007.8831701660156
2023-08-04 17:49:00-04:00,-0.8058946990966797,1007.8849304199218
2023-08-04 17:49:01-04:00,-0.9141222381591796,1007.8978833007812
2023-08-04 17:49:02-04:00,-1.1203780364990237,1007.9225146484376
2023-08-04 17:49:03-04:00,-1.2482112121582032,1007.937840576172
2023-08-04 17:49:04-04:00,-1.641698684692383,1007.98486328125
2023-08-04 17:49:05-04:00,-2.2781695556640624,1008.0610229492188
2023-08-04 17:49:06-04:00,-3.0023641204833984,1008.1476635742188
2023-08-04 17:49:07-04:00,-3.437177047729492,1008.199676513672
2023-08-04 17:49:08-04:00,-3.868765640258789,1008.251298828125
2023-08-04 17:49:09-04:00,-4.243757171630859,1008.296162109375
2023-08-04 17:49:10-04:00,-4.669691925048828,1008.3471069335938
2023-08-04 17:49:11-04:00,-4.868391036987305,1008.3708923339844
2023-08-04 17:49:12-04:00,-5.092772979736328,1008.3977380371092
2023-08-04 17:49:13-04:00,-5.470617904663086,1008.4429272460936
2023-08-04 17:49:14-04:00,-5.734158325195312,1008.474483642578
2023-08-04 17:49:15-04:00,-5.873987426757813,1008.4912158203124
2023-08-04 17:49:16-04:00,-5.909024047851562,1008.495419921875
