time,mag_z,mag_y,mag_x
2023-08-04 17:47:58-04:00,92.54293348982527,60.87569046020508,-51.98617718670819
2023-08-04 17:47:59-04:00,92.7453741455078,61.08051879882812,-52.05105503082275
2023-08-04 17:48:00-04:00,92.84773246765135,61.1786067199707,-52.26418907165528
2023-08-04 17:48:01-04:00,92.81881828308106,61.13541885375977,-52.39265506744385
2023-08-04 17:48:02-04:00,92.9472844696045,61.128220863342285,-52.485009078979495
2023-08-04 17:48:03-04:00,92.63789207458495,61.500320739746094,-53.06597282409668
2023-08-04 17:48:04-04:00,92.74281204223632,61.582792892456055,-53.11025901794434
2023-08-04 17:48:05-04:00,92.96717041015626,61.1354188156128,-52.89846694946289
2023-08-04 17:48:06-04:00,92.70413833618164,60.99633895874023,-53.6027730178833
2023-08-04 17:48:07-04:00,92.69633041381836,61.05099472045899,-53.59545318603516
2023-08-04 17:48:08-04:00,92.29958618164062,61.06856288909912,-53.60143081665039
2023-08-04 17:48:09-04:00,91.88137008666992,61.12736682891845,-53.94510486602783
2023-08-04 17:48:10-04:00,92.98388427734376,61.05831481933594,-54.08430686950683
2023-08-04 17:48:11-04:00,92.94972389221192,60.88300094604492,-53.58910903930664
2023-08-04 17:48:12-04:00,92.48795455932616,60.9968265914917,-53.57520092010498
2023-08-04 17:48:13-04:00,92.532850189209,61.038550758361815,-53.627904930114745
2023-08-04 17:48:14-04:00,92.50845024108888,60.877022666931154,-53.00594898223877
2023-08-04 17:48:15-04:00,92.73939659118652,60.72867095947266,-53.726847076416014
2023-08-04 17:48:16-04:00,92.34972846984864,60.75929275512695,-53.07683071136475
2023-08-04 17:48:17-04:00,92.3905982208252,60.19906898498535,-53.0587748336792
2023-08-04 17:48:18-04:00,90.70089836120606,60.00948101043701,-53.2043208694458
2023-08-04 17:48:19-04:00,87.01601036071777,60.88434288024902,-54.63355098724365
2023-08-04 17:48:20-04:00,79.93049438476562,62.20328483581543,-55.31174892425537
2023-08-04 17:48:21-04:00,70.71156486511231,62.98957450866699,-52.22270874023437
2023-08-04 17:48:22-04:00,64.67500465393067,62.84707893371582,-46.43246711730957
2023-08-04 17:48:23-04:00,62.90173473358154,62.4316686630249,-43.00170524597168
2023-08-04 17:48:24-04:00,62.977984504699705,62.80962471008301,-42.23969329833984
2023-08-04 17:48:25-04:00,63.65618293762207,62.550008850097655,-42.98279518127441
2023-08-04 17:48:26-04:00,63.92982902526855,62.19986881256104,-43.6968611907959
2023-08-04 17:48:27-04:00,64.34206657409668,62.108734970092776,-44.23549129486084
2023-08-04 17:48:28-04:00,64.5859449005127,62.07274494171143,-44.31954917907715
2023-08-04 17:48:29-04:00,64.04219058990479,62.34492679595947,-44.5365873336792
2023-08-04 17:48:30-04:00,63.88468856811524,62.70677871704102,-45.59737705230713
2023-08-04 17:48:31-04:00,64.15955486297608,62.72544471740723,-44.70031101226807
2023-08-04 17:48:32-04:00,63.82869091033936,62.76497268676758,-45.63580715179443
2023-08-04 17:48:33-04:00,63.57859046936035,63.224180717468265,-46.43112514495849
2023-08-04 17:48:34-04:00,63.60286884307861,63.28274097442627,-46.60436511993408
2023-08-04 17:48:35-04:00,63.441096725463865,63.4452449798584,-46.6606071472168
2023-08-04 17:48:36-04:00,63.5167370223999,63.15988693237305,-46.82213497161865
2023-08-04 17:48:37-04:00,63.43219093322754,63.014462890625,-47.05881519317627
2023-08-04 17:48:38-04:00,64.33608871459961,62.45863067626953,-47.10883502960205
2023-08-04 17:48:39-04:00,63.94898273468018,62.88672874450683,-46.69879322052002
2023-08-04 17:48:40-04:00,64.18090461730957,62.69409076690674,-46.08464500427246
2023-08-04 17:48:41-04:00,63.68107097625733,62.26757873535156,-47.39699905395508
2023-08-04 17:48:42-04:00,67.55945060729981,62.26416282653808,-51.87805912017822
2023-08-04 17:48:43-04:00,76.34418212890625,62.03687683105469,-56.29287307739258
2023-08-04 17:48:44-04:00,84.24526786804199,61.075760765075685,-57.08038307189941
2023-08-04 17:48:45-04:00,89.56776222229004,60.01228672027588,-55.13326286315918
2023-08-04 17:48:46-04:00,91.88161445617676,60.13099296569824,-54.4048010635376
2023-08-04 17:48:47-04:00,92.24602813720703,59.942258987426754,-53.71159698486328
2023-08-04 17:48:48-04:00,90.48264038085938,58.86719482421875,-53.44734508514404
2023-08-04 17:48:49-04:00,90.4792237854004,59.24197891235352,-53.77955097198486
2023-08-04 17:48:50-04:00,89.80346641540527,59.98349491119384,-54.23546504974365
2023-08-04 17:48:51-04:00,86.6454963684082,60.729036750793455,-54.41614692687988
2023-08-04 17:48:52-04:00,84.30895240783691,61.59975086212158,-55.69958690643311
2023-08-04 17:48:53-04:00,81.17086822509765,62.47009872436524,-56.46367279052734
2023-08-04 17:48:54-04:00,78.98621467590333,63.23760066986084,-56.54285087585449
2023-08-04 17:48:55-04:00,76.298310546875,63.48465076446533,-56.102064781188965
2023-08-04 17:48:56-04:00,72.95441261291504,64.29765846252441,-54.65002101898193
2023-08-04 17:48:57-04:00,69.18497825622559,65.25352886199951,-52.19891910552978
2023-08-04 17:48:58-04:00,66.09972061157227,64.70074680328369,-51.034794921875
2023-08-04 17:48:59-04:00,64.14894081115723,64.12954261779785,-47.73945323944092
2023-08-04 17:49:00-04:00,63.39449291229248,63.77403484344482,-46.04731315612793
2023-08-04 17:49:01-04:00,63.55065265655517,63.55138500213623,-46.24165920257568
2023-08-04 17:49:02-04:00,63.598720703125,63.48928680419922,-46.77004108428955
2023-08-04 17:49:03-04:00,64.53214275360108,62.97151889801025,-46.71611717224121
