,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,TIME
2000-07-31 12:35:00-12:00,45.16563,-44.40619,6.18,4656.0,49467.0,84.0,39.7,0 days 00:00:00
2000-07-31 12:36:00-12:00,45.16476,-44.40703,6.181,4657.0,49464.0,82.0,39.7,0 days 00:01:00
2000-07-31 12:37:00-12:00,45.16397,-44.40786,6.181,4657.0,49465.0,83.0,39.6,0 days 00:02:00
2000-07-31 12:38:00-12:00,45.16313,-44.40872,6.18,4656.0,49467.0,85.0,39.5,0 days 00:03:00
2000-07-31 12:39:00-12:00,45.16222,-44.40954,6.183,4658.0,49468.0,86.0,39.7,0 days 00:04:00
2000-07-31 12:40:00-12:00,45.16134,-44.41043,6.178,4655.0,49470.0,89.0,39.8,0 days 00:05:00
2000-07-31 12:41:00-12:00,45.1605,-44.41131,6.181,4657.0,49470.0,89.0,39.5,0 days 00:06:00
2000-07-31 12:42:00-12:00,45.15966,-44.41216,6.178,4655.0,49467.0,86.0,39.5,0 days 00:07:00
2000-07-31 12:43:00-12:00,45.15874,-44.41298,6.184,4659.0,49465.0,84.0,39.4,0 days 00:08:00
2000-07-31 12:44:00-12:00,45.15785,-44.41384,6.184,4659.0,49466.0,86.0,39.3,0 days 00:09:00
2000-07-31 12:45:00-12:00,45.15699,-44.41469,6.184,4659.0,49467.0,86.0,39.4,0 days 00:10:00
2000-07-31 12:46:00-12:00,45.15614,-44.41551,6.184,4659.0,49468.0,87.0,39.1,0 days 00:11:00
2000-07-31 12:47:00-12:00,45.15523,-44.41637,6.184,4659.0,49466.0,86.0,39.1,0 days 00:12:00
2000-07-31 12:48:00-12:00,45.1543,-44.41722,6.184,4659.0,49463.0,83.0,39.0,0 days 00:13:00
2000-07-31 12:49:00-12:00,45.1534,-44.41808,6.185,4660.0,49463.0,83.0,39.2,0 days 00:14:00
2000-07-31 12:50:00-12:00,45.1525,-44.41898,6.185,4660.0,49462.0,83.0,39.4,0 days 00:15:00
2000-07-31 12:51:00-12:00,45.15157,-44.41989,6.185,4660.0,49464.0,85.0,39.5,0 days 00:16:00
2000-07-31 12:52:00-12:00,45.15052,-44.42088,6.185,4660.0,49462.0,83.0,39.5,0 days 00:17:00
2000-07-31 12:53:00-12:00,45.14953,-44.42188,6.185,4660.0,49457.0,79.0,39.4,0 days 00:18:00
2000-07-31 12:54:00-12:00,45.14864,-44.4228,6.185,4660.0,49457.0,78.0,38.9,0 days 00:19:00
2000-07-31 12:55:00-12:00,45.14776,-44.4237,6.185,4660.0,49457.0,79.0,38.7,0 days 00:20:00
2000-07-31 12:56:00-12:00,45.14686,-44.42461,6.185,4660.0,49455.0,77.0,38.5,0 days 00:21:00
2000-07-31 12:57:00-12:00,45.14596,-44.42547,6.192,4665.0,49454.0,76.0,38.6,0 days 00:22:00
2000-07-31 12:58:00-12:00,45.14505,-44.42638,6.191,4664.0,49454.0,76.0,38.7,0 days 00:23:00
2000-07-31 12:59:00-12:00,45.14414,-44.4273,6.19,4663.0,49452.0,74.0,38.7,0 days 00:24:00
2000-07-31 13:00:00-12:00,45.14328,-44.42822,6.19,4663.0,49450.0,73.0,38.5,0 days 00:25:00
2000-07-31 13:10:00-12:00,45.13522,-44.43675,6.186,4661.0,49427.0,52.0,38.5,0 days 00:35:00
2000-07-31 13:11:00-12:00,45.13448,-44.43756,6.186,4661.0,49428.0,53.0,38.6,0 days 00:36:00
2000-07-31 13:12:00-12:00,45.13372,-44.43838,6.186,4661.0,49426.0,51.0,38.2,0 days 00:37:00
2000-07-31 13:13:00-12:00,45.13296,-44.43913,6.186,4661.0,49425.0,50.0,38.0,0 days 00:38:00
2000-07-31 13:14:00-12:00,45.1322,-44.43983,6.186,4661.0,49425.0,50.0,37.7,0 days 00:39:00
2000-07-31 13:15:00-12:00,45.13142,-44.44052,6.189,4663.0,49421.0,46.0,37.7,0 days 00:40:00
2000-07-31 13:16:00-12:00,45.13069,-44.44129,6.186,4661.0,49422.0,48.0,37.8,0 days 00:41:00
2000-07-31 13:17:00-12:00,45.12986,-44.44205,6.189,4663.0,49420.0,46.0,37.7,0 days 00:42:00
2000-07-31 13:18:00-12:00,45.12905,-44.44282,6.189,4663.0,49418.0,44.0,37.7,0 days 00:43:00
2000-07-31 13:19:00-12:00,45.12824,-44.44357,6.19,4663.0,49418.0,45.0,37.7,0 days 00:44:00
2000-07-31 13:20:00-12:00,45.12734,-44.44434,6.19,4663.0,49414.0,41.0,37.7,0 days 00:45:00
2000-07-31 13:21:00-12:00,45.12651,-44.44515,6.188,4662.0,49416.0,43.0,37.9,0 days 00:46:00
2000-07-31 13:22:00-12:00,45.12568,-44.44595,6.189,4663.0,49414.0,42.0,37.9,0 days 00:47:00
2000-07-31 13:23:00-12:00,45.12486,-44.44674,6.189,4663.0,49411.0,39.0,38.0,0 days 00:48:00
2000-07-31 13:24:00-12:00,45.12406,-44.44752,6.189,4663.0,49410.0,38.0,38.1,0 days 00:49:00
2000-07-31 13:25:00-12:00,45.12324,-44.44829,6.189,4663.0,49413.0,41.0,38.2,0 days 00:50:00
2000-07-31 13:26:00-12:00,45.12241,-44.44906,6.189,4663.0,49410.0,38.0,38.0,0 days 00:51:00
2000-07-31 13:27:00-12:00,45.12158,-44.44985,6.189,4663.0,49410.0,38.0,38.1,0 days 00:52:00
2000-07-31 13:28:00-12:00,45.12076,-44.45061,6.192,4665.0,49406.0,35.0,37.9,0 days 00:53:00
2000-07-31 13:29:00-12:00,45.11995,-44.45143,6.192,4665.0,49409.0,38.0,37.9,0 days 00:54:00
2000-07-31 13:30:00-12:00,45.11915,-44.45227,6.181,4657.0,49407.0,36.0,37.9,0 days 00:55:00
2000-07-31 13:31:00-12:00,45.11847,-44.45313,6.193,4666.0,49405.0,34.0,38.0,0 days 00:56:00
2000-07-31 13:32:00-12:00,45.11765,-44.45399,6.189,4663.0,49406.0,35.0,38.0,0 days 00:57:00
2000-07-31 13:33:00-12:00,45.11692,-44.45491,6.185,4660.0,49405.0,35.0,37.9,0 days 00:58:00
2000-07-31 13:34:00-12:00,45.11616,-44.45581,6.186,4661.0,49404.0,34.0,37.9,0 days 00:59:00
2000-07-31 13:35:00-12:00,45.11545,-44.45672,6.186,4661.0,49404.0,34.0,38.0,0 days 01:00:00
2000-07-31 13:36:00-12:00,45.11478,-44.4576,6.185,4660.0,49403.0,33.0,37.6,0 days 01:01:00
2000-07-31 13:37:00-12:00,45.11407,-44.45848,6.185,4660.0,49403.0,33.0,37.0,0 days 01:02:00
2000-07-31 13:38:00-12:00,45.11326,-44.45921,6.185,4660.0,49405.0,35.0,36.6,0 days 01:03:00
2000-07-31 13:39:00-12:00,45.11248,-44.45988,6.183,4658.0,49402.0,33.0,36.5,0 days 01:04:00
2000-07-31 13:40:00-12:00,45.11164,-44.46055,6.187,4661.0,49406.0,37.0,36.7,0 days 01:05:00
2000-07-31 13:41:00-12:00,45.11083,-44.46126,6.186,4661.0,49406.0,38.0,37.2,0 days 01:06:00
2000-07-31 13:42:00-12:00,45.10997,-44.462,6.186,4661.0,49406.0,37.0,37.8,0 days 01:07:00
2000-07-31 13:43:00-12:00,45.10916,-44.46277,6.186,4661.0,49406.0,38.0,38.0,0 days 01:08:00
2000-07-31 13:44:00-12:00,45.10841,-44.46359,6.189,4663.0,49402.0,34.0,37.8,0 days 01:09:00
2000-07-31 13:45:00-12:00,45.1077,-44.46441,6.186,4661.0,49406.0,38.0,37.7,0 days 01:10:00
2000-07-31 13:46:00-12:00,45.10694,-44.46518,6.186,4661.0,49407.0,39.0,37.5,0 days 01:11:00
2000-07-31 13:47:00-12:00,45.10609,-44.46591,6.186,4661.0,49405.0,37.0,37.2,0 days 01:12:00
2000-07-31 13:48:00-12:00,45.10527,-44.46672,6.184,4659.0,49405.0,38.0,37.0,0 days 01:13:00
2000-07-31 13:49:00-12:00,45.10449,-44.46745,6.188,4662.0,49409.0,42.0,36.8,0 days 01:14:00
2000-07-31 13:50:00-12:00,45.10365,-44.4682,6.186,4661.0,49409.0,42.0,37.0,0 days 01:15:00
2000-07-31 13:51:00-12:00,45.10284,-44.4689,6.182,4657.0,49406.0,39.0,37.1,0 days 01:16:00
2000-07-31 13:52:00-12:00,45.10208,-44.4696,6.186,4661.0,49408.0,42.0,37.0,0 days 01:17:00
2000-07-31 13:53:00-12:00,45.10127,-44.47036,6.185,4660.0,49409.0,42.0,37.4,0 days 01:18:00
2000-07-31 13:54:00-12:00,45.10046,-44.47108,6.186,4661.0,49408.0,42.0,37.6,0 days 01:19:00
2000-07-31 13:55:00-12:00,45.09963,-44.4718,6.186,4661.0,49409.0,44.0,37.7,0 days 01:20:00
