,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,TIME
2001-12-09 05:43:00+05:00,-38.01339,109.88378,6.075,4562.0,60710.0,-6.0,15.4,0 days 00:00:00
2001-12-09 05:44:00+05:00,-38.01561,109.88164,6.057,4549.0,60708.0,-8.0,12.9,0 days 00:01:00
2001-12-09 05:45:00+05:00,-38.01783,109.87948,6.08,4566.0,60708.0,-8.0,13.1,0 days 00:02:00
2001-12-09 05:46:00+05:00,-38.01999,109.87737,6.067,4556.0,60710.0,-8.0,11.5,0 days 00:03:00
2001-12-09 05:47:00+05:00,-38.02222,109.87526,6.072,4560.0,60711.0,-7.0,11.5,0 days 00:04:00
2001-12-09 05:48:00+05:00,-38.02446,109.87309,6.054,4546.0,60713.0,-5.0,13.8,0 days 00:05:00
2001-12-09 05:49:00+05:00,-38.02675,109.87091,6.036,4533.0,60716.0,-2.0,14.8,0 days 00:06:00
2001-12-09 05:50:00+05:00,-38.02902,109.86874,6.024,4523.0,60722.0,3.0,14.9,0 days 00:07:00
2001-12-09 05:51:00+05:00,-38.0313,109.86658,6.025,4524.0,60726.0,6.0,11.6,0 days 00:08:00
2001-12-09 05:52:00+05:00,-38.03354,109.86441,6.012,4514.0,60731.0,12.0,12.4,0 days 00:09:00
2001-12-09 05:53:00+05:00,-38.03575,109.86226,5.983,4492.0,60735.0,15.0,14.7,0 days 00:10:00
2001-12-09 05:54:00+05:00,-38.038,109.86014,5.807,4357.0,60739.0,19.0,12.3,0 days 00:11:00
2001-12-09 05:55:00+05:00,-38.04022,109.858,5.789,4344.0,60745.0,24.0,13.0,0 days 00:12:00
2001-12-09 05:56:00+05:00,-38.04245,109.85588,5.756,4318.0,60750.0,29.0,11.3,0 days 00:13:00
2001-12-09 05:57:00+05:00,-38.04462,109.85378,5.858,4397.0,60755.0,33.0,12.8,0 days 00:14:00
2001-12-09 05:58:00+05:00,-38.04683,109.85167,5.838,4381.0,60758.0,36.0,15.5,0 days 00:15:00
2001-12-09 05:59:00+05:00,-38.04912,109.84948,5.862,4399.0,60761.0,38.0,13.3,0 days 00:16:00
2001-12-09 06:00:00+05:00,-38.05149,109.84725,5.847,4388.0,60763.0,39.0,17.7,0 days 00:17:00
