,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,TIME
2000-07-18 12:35:00-12:00,45.91087,-42.78646,6.216,4684.0,49474.0,62.0,20.3,0 days 00:00:00
2000-07-18 12:36:00-12:00,45.91178,-42.78621,6.217,4685.0,49475.0,62.0,20.3,0 days 00:01:00
2000-07-18 12:37:00-12:00,45.91269,-42.78596,6.217,4685.0,49474.0,61.0,20.2,0 days 00:02:00
2000-07-18 12:38:00-12:00,45.91359,-42.78577,6.213,4682.0,49478.0,64.0,20.4,0 days 00:03:00
2000-07-18 12:39:00-12:00,45.9145,-42.78561,6.217,4685.0,49479.0,64.0,20.4,0 days 00:04:00
2000-07-18 12:40:00-12:00,45.9154,-42.78546,6.219,4686.0,49481.0,66.0,20.4,0 days 00:05:00
2000-07-18 12:41:00-12:00,45.91628,-42.78535,6.22,4687.0,49481.0,66.0,20.4,0 days 00:06:00
2000-07-18 12:42:00-12:00,45.91713,-42.78525,6.216,4684.0,49482.0,66.0,20.6,0 days 00:07:00
2000-07-18 12:43:00-12:00,45.91797,-42.78523,6.22,4687.0,49484.0,68.0,20.8,0 days 00:08:00
2000-07-18 12:44:00-12:00,45.91881,-42.78528,6.213,4682.0,49484.0,68.0,20.9,0 days 00:09:00
2000-07-18 12:45:00-12:00,45.91958,-42.78541,6.215,4683.0,49486.0,69.0,20.9,0 days 00:10:00
2000-07-18 12:46:00-12:00,45.92034,-42.78564,6.216,4684.0,49486.0,70.0,21.0,0 days 00:11:00
2000-07-18 12:47:00-12:00,45.92103,-42.78594,6.212,4681.0,49486.0,68.0,21.1,0 days 00:12:00
2000-07-18 12:48:00-12:00,45.92167,-42.78639,6.217,4685.0,49488.0,70.0,21.2,0 days 00:13:00
2000-07-18 12:49:00-12:00,45.92226,-42.78692,6.216,4684.0,49486.0,68.0,21.3,0 days 00:14:00
2000-07-18 12:50:00-12:00,45.92282,-42.78754,6.216,4684.0,49486.0,68.0,21.2,0 days 00:15:00
2000-07-18 12:51:00-12:00,45.92333,-42.78816,6.216,4684.0,49488.0,70.0,21.2,0 days 00:16:00
2000-07-18 12:52:00-12:00,45.92376,-42.78886,6.214,4682.0,49488.0,69.0,21.2,0 days 00:17:00
2000-07-18 12:53:00-12:00,45.92412,-42.78965,6.214,4682.0,49487.0,68.0,21.3,0 days 00:18:00
2000-07-18 12:54:00-12:00,45.9244,-42.7905,6.214,4682.0,49486.0,66.0,21.3,0 days 00:19:00
2000-07-18 12:55:00-12:00,45.92465,-42.79138,6.214,4682.0,49487.0,67.0,21.2,0 days 00:20:00
2000-07-18 12:56:00-12:00,45.92488,-42.79226,6.214,4682.0,49486.0,66.0,21.0,0 days 00:21:00
2000-07-18 12:57:00-12:00,45.92513,-42.79312,6.213,4682.0,49485.0,65.0,20.8,0 days 00:22:00
2000-07-18 12:58:00-12:00,45.9254,-42.79399,6.213,4682.0,49485.0,64.0,20.7,0 days 00:23:00
2000-07-18 12:59:00-12:00,45.92565,-42.79484,6.213,4682.0,49486.0,65.0,20.6,0 days 00:24:00
2000-07-18 13:00:00-12:00,45.92589,-42.79568,6.213,4682.0,49489.0,68.0,20.6,0 days 00:25:00
2000-07-18 13:10:00-12:00,45.92798,-42.80405,6.212,4681.0,49481.0,58.0,21.2,0 days 00:35:00
2000-07-18 13:11:00-12:00,45.92813,-42.80493,6.209,4679.0,49482.0,58.0,21.1,0 days 00:36:00
2000-07-18 13:12:00-12:00,45.92829,-42.80577,6.21,4680.0,49480.0,56.0,21.0,0 days 00:37:00
2000-07-18 13:13:00-12:00,45.92846,-42.80659,6.21,4680.0,49478.0,54.0,21.1,0 days 00:38:00
2000-07-18 13:14:00-12:00,45.92864,-42.80741,6.206,4676.0,49478.0,54.0,21.1,0 days 00:39:00
2000-07-18 13:15:00-12:00,45.92881,-42.80824,6.206,4676.0,49479.0,54.0,21.2,0 days 00:40:00
2000-07-18 13:16:00-12:00,45.92896,-42.80908,6.209,4679.0,49479.0,55.0,21.3,0 days 00:41:00
