,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,TIME
2001-12-21 14:15:00+05:00,-47.19151,100.35462,3.667,2724.0,61441.0,579.0,38.7,0 days 00:00:00
2001-12-21 14:16:00+05:00,-47.1922,100.35627,3.662,2720.0,61436.0,573.0,38.2,0 days 00:01:00
2001-12-21 14:17:00+05:00,-47.19287,100.35798,3.674,2730.0,61433.0,570.0,38.1,0 days 00:02:00
2001-12-21 14:18:00+05:00,-47.19351,100.35971,3.664,2722.0,61430.0,566.0,37.5,0 days 00:03:00
2001-12-21 14:19:00+05:00,-47.19416,100.36141,3.655,2715.0,61428.0,563.0,37.7,0 days 00:04:00
2001-12-21 14:20:00+05:00,-47.19489,100.36308,3.666,2724.0,61427.0,562.0,37.7,0 days 00:05:00
2001-12-21 14:21:00+05:00,-47.1955,100.36484,3.662,2720.0,61425.0,559.0,38.2,0 days 00:06:00
2001-12-21 14:22:00+05:00,-47.19621,100.36652,3.653,2714.0,61424.0,558.0,37.2,0 days 00:07:00
2001-12-21 14:23:00+05:00,-47.19686,100.36823,3.686,2738.0,61420.0,553.0,37.9,0 days 00:08:00
2001-12-21 14:24:00+05:00,-47.19749,100.36993,3.69,2742.0,61419.0,551.0,42.5,0 days 00:09:00
2001-12-21 14:25:00+05:00,-47.19814,100.37164,3.69,2742.0,61420.0,551.0,40.5,0 days 00:10:00
2001-12-21 14:26:00+05:00,-47.19883,100.37334,3.671,2727.0,61417.0,548.0,40.3,0 days 00:11:00
2001-12-21 14:27:00+05:00,-47.19953,100.37506,3.648,2710.0,61417.0,548.0,39.5,0 days 00:12:00
2001-12-21 14:28:00+05:00,-47.20014,100.3768,3.654,2714.0,61416.0,546.0,38.6,0 days 00:13:00
2001-12-21 14:29:00+05:00,-47.20076,100.37853,3.646,2708.0,61419.0,548.0,38.0,0 days 00:14:00
2001-12-21 14:30:00+05:00,-47.20135,100.38032,3.621,2690.0,61416.0,544.0,36.6,0 days 00:15:00
2001-12-21 14:31:00+05:00,-47.20193,100.38205,3.624,2692.0,61414.0,542.0,37.0,0 days 00:16:00
2001-12-21 14:32:00+05:00,-47.20258,100.38377,3.634,2700.0,61413.0,540.0,38.4,0 days 00:17:00
