,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,TIME
2000-07-25 12:36:00-12:00,45.33957,-44.48,6.102,4596.0,49309.0,-165.0,26.7,0 days 00:00:00
2000-07-25 12:37:00-12:00,45.34031,-44.48154,6.102,4596.0,49312.0,-162.0,26.7,0 days 00:01:00
2000-07-25 12:38:00-12:00,45.34109,-44.48307,6.102,4596.0,49309.0,-166.0,26.6,0 days 00:02:00
2000-07-25 12:39:00-12:00,45.34185,-44.48458,6.101,4596.0,49313.0,-163.0,26.5,0 days 00:03:00
2000-07-25 12:40:00-12:00,45.34261,-44.48608,6.101,4596.0,49314.0,-163.0,26.5,0 days 00:04:00
2000-07-25 12:45:00-12:00,45.34642,-44.4937,6.096,4591.0,49306.0,-174.0,26.3,0 days 00:09:00
2000-07-25 12:46:00-12:00,45.34718,-44.49524,6.096,4591.0,49349.0,-132.0,26.2,0 days 00:10:00
2000-07-25 12:47:00-12:00,45.34794,-44.49677,6.096,4591.0,49341.0,-140.0,26.2,0 days 00:11:00
2000-07-25 12:48:00-12:00,45.34866,-44.49828,6.096,4591.0,49346.0,-135.0,26.2,0 days 00:12:00
2000-07-25 12:49:00-12:00,45.34943,-44.49977,6.096,4591.0,49341.0,-141.0,26.1,0 days 00:13:00
2000-07-25 12:50:00-12:00,45.3502,-44.5013,6.095,4590.0,49344.0,-139.0,25.9,0 days 00:14:00
2000-07-25 12:51:00-12:00,45.35094,-44.50277,6.093,4589.0,49354.0,-129.0,25.8,0 days 00:15:00
2000-07-25 12:52:00-12:00,45.35169,-44.50427,6.094,4589.0,49345.0,-139.0,25.8,0 days 00:16:00
2000-07-25 12:53:00-12:00,45.35244,-44.50576,6.091,4587.0,49348.0,-136.0,25.6,0 days 00:17:00
2000-07-25 12:54:00-12:00,45.35318,-44.50727,6.094,4589.0,49354.0,-131.0,25.6,0 days 00:18:00
2000-07-25 12:55:00-12:00,45.35392,-44.50876,6.092,4588.0,49354.0,-132.0,25.6,0 days 00:19:00
