,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,TIME
2000-08-02 12:35:00-12:00,45.33618,-44.92561,5.966,4491.0,49479.0,-75.0,14.5,0 days 00:00:00
2000-08-02 12:36:00-12:00,45.33545,-44.92415,5.972,4496.0,49478.0,-75.0,14.3,0 days 00:01:00
2000-08-02 12:37:00-12:00,45.33474,-44.9227,5.973,4497.0,49479.0,-73.0,14.2,0 days 00:02:00
2000-08-02 12:38:00-12:00,45.33402,-44.92128,5.976,4499.0,49479.0,-73.0,14.2,0 days 00:03:00
2000-08-02 12:39:00-12:00,45.33333,-44.91984,5.974,4497.0,49482.0,-70.0,14.2,0 days 00:04:00
2000-08-02 12:40:00-12:00,45.33266,-44.91841,5.977,4500.0,49476.0,-75.0,14.1,0 days 00:05:00
2000-08-02 12:41:00-12:00,45.33196,-44.91694,5.977,4500.0,49483.0,-68.0,14.1,0 days 00:06:00
2000-08-02 12:42:00-12:00,45.33126,-44.91547,5.978,4502.0,49481.0,-69.0,14.0,0 days 00:07:00
2000-08-02 12:43:00-12:00,45.33058,-44.91403,5.986,4508.0,49482.0,-67.0,14.0,0 days 00:08:00
2000-08-02 12:44:00-12:00,45.32987,-44.91263,5.992,4512.0,49483.0,-66.0,14.0,0 days 00:09:00
2000-08-02 12:45:00-12:00,45.32918,-44.91119,5.994,4514.0,49482.0,-66.0,14.1,0 days 00:10:00
2000-08-02 12:46:00-12:00,45.32852,-44.90988,5.994,4514.0,49482.0,-66.0,14.1,0 days 00:11:00
2000-08-02 12:47:00-12:00,45.32783,-44.90855,5.994,4514.0,49483.0,-64.0,14.0,0 days 00:12:00
2000-08-02 12:48:00-12:00,45.32718,-44.90722,5.994,4514.0,49483.0,-64.0,13.8,0 days 00:13:00
2000-08-02 12:49:00-12:00,45.3265,-44.90587,6.001,4519.0,49489.0,-57.0,13.5,0 days 00:14:00
2000-08-02 12:50:00-12:00,45.32577,-44.90448,6.005,4522.0,49481.0,-64.0,13.3,0 days 00:15:00
2000-08-02 12:51:00-12:00,45.32507,-44.90307,6.006,4522.0,49484.0,-61.0,13.5,0 days 00:16:00
2000-08-02 12:52:00-12:00,45.32436,-44.90163,6.009,4525.0,49487.0,-57.0,13.5,0 days 00:17:00
2000-08-02 12:53:00-12:00,45.32365,-44.90021,6.013,4528.0,49490.0,-53.0,13.7,0 days 00:18:00
2000-08-02 12:54:00-12:00,45.32295,-44.8988,6.016,4530.0,49485.0,-58.0,13.9,0 days 00:19:00
2000-08-02 12:55:00-12:00,45.32221,-44.89738,6.014,4528.0,49491.0,-51.0,14.0,0 days 00:20:00
2000-08-02 12:56:00-12:00,45.3215,-44.89598,6.014,4528.0,49488.0,-53.0,13.9,0 days 00:21:00
2000-08-02 12:57:00-12:00,45.32081,-44.89457,6.021,4534.0,49494.0,-47.0,13.8,0 days 00:22:00
2000-08-02 12:58:00-12:00,45.32011,-44.89317,6.021,4534.0,49493.0,-48.0,13.6,0 days 00:23:00
2000-08-02 12:59:00-12:00,45.31941,-44.89175,6.024,4536.0,49493.0,-47.0,13.5,0 days 00:24:00
2000-08-02 13:00:00-12:00,45.3187,-44.8903,6.028,4539.0,49493.0,-46.0,13.3,0 days 00:25:00
