,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,TIME
2000-07-21 12:35:00-12:00,47.35305,-45.2181,0.288,211.0,50386.0,-92.0,69.9,0 days 00:00:00
2000-07-21 12:36:00-12:00,47.35221,-45.21668,0.286,209.0,50395.0,-82.0,69.8,0 days 00:01:00
2000-07-21 12:37:00-12:00,47.3514,-45.21524,0.286,209.0,50408.0,-69.0,69.6,0 days 00:02:00
2000-07-21 12:38:00-12:00,47.35056,-45.21382,0.286,209.0,50418.0,-58.0,69.4,0 days 00:03:00
2000-07-21 12:39:00-12:00,47.34974,-45.21237,0.297,218.0,50436.0,-39.0,69.0,0 days 00:04:00
2000-07-21 12:40:00-12:00,47.34896,-45.21093,0.296,217.0,50456.0,-18.0,68.9,0 days 00:05:00
2000-07-21 12:41:00-12:00,47.34821,-45.20951,0.292,214.0,50466.0,-8.0,68.8,0 days 00:06:00
2000-07-21 12:42:00-12:00,47.34743,-45.20815,0.292,214.0,50484.0,10.0,68.7,0 days 00:07:00
2000-07-21 12:43:00-12:00,47.34662,-45.20676,0.295,216.0,50494.0,21.0,68.5,0 days 00:08:00
2000-07-21 12:44:00-12:00,47.34583,-45.20532,0.295,216.0,50510.0,38.0,68.2,0 days 00:09:00
2000-07-21 12:45:00-12:00,47.34505,-45.20387,0.296,217.0,50519.0,47.0,68.0,0 days 00:10:00
2000-07-21 12:46:00-12:00,47.34427,-45.20247,0.296,217.0,50524.0,53.0,67.9,0 days 00:11:00
2000-07-21 12:47:00-12:00,47.34346,-45.20108,0.294,215.0,50522.0,51.0,67.8,0 days 00:12:00
2000-07-21 12:48:00-12:00,47.34264,-45.19968,0.292,214.0,50518.0,48.0,67.9,0 days 00:13:00
2000-07-21 12:49:00-12:00,47.34185,-45.19831,0.292,214.0,50503.0,33.0,67.8,0 days 00:14:00
2000-07-21 12:50:00-12:00,47.34106,-45.19695,0.291,213.0,50495.0,26.0,67.7,0 days 00:15:00
2000-07-21 12:51:00-12:00,47.34028,-45.19558,0.29,213.0,50489.0,21.0,67.6,0 days 00:16:00
2000-07-21 12:52:00-12:00,47.33945,-45.19422,0.288,211.0,50484.0,16.0,67.5,0 days 00:17:00
2000-07-21 12:53:00-12:00,47.33863,-45.19285,0.287,210.0,50490.0,23.0,67.5,0 days 00:18:00
2000-07-21 12:54:00-12:00,47.33781,-45.1915,0.285,209.0,50509.0,43.0,67.6,0 days 00:19:00
2000-07-21 12:55:00-12:00,47.33699,-45.19019,0.285,209.0,50538.0,72.0,67.7,0 days 00:20:00
2000-07-21 12:56:00-12:00,47.3362,-45.18889,0.284,208.0,50556.0,90.0,67.6,0 days 00:21:00
2000-07-21 12:57:00-12:00,47.33545,-45.18753,0.284,208.0,50570.0,105.0,67.6,0 days 00:22:00
2000-07-21 12:58:00-12:00,47.33467,-45.18615,0.284,208.0,50588.0,124.0,67.5,0 days 00:23:00
2000-07-21 12:59:00-12:00,47.33388,-45.18479,0.283,207.0,50604.0,140.0,67.5,0 days 00:24:00
2000-07-21 13:00:00-12:00,47.33306,-45.18347,0.28,205.0,50621.0,158.0,67.6,0 days 00:25:00
2000-07-21 13:10:00-12:00,47.32542,-45.16992,0.269,197.0,50568.0,110.0,68.2,0 days 00:35:00
2000-07-21 13:11:00-12:00,47.32464,-45.1685,0.269,197.0,50548.0,91.0,68.2,0 days 00:36:00
2000-07-21 13:12:00-12:00,47.32385,-45.16708,0.261,191.0,50555.0,99.0,68.3,0 days 00:37:00
2000-07-21 13:13:00-12:00,47.32308,-45.16565,0.26,190.0,50566.0,110.0,68.4,0 days 00:38:00
2000-07-21 13:14:00-12:00,47.32228,-45.16427,0.264,193.0,50575.0,120.0,68.6,0 days 00:39:00
2000-07-21 13:15:00-12:00,47.32149,-45.16289,0.266,195.0,50590.0,136.0,68.7,0 days 00:40:00
2000-07-21 13:16:00-12:00,47.32067,-45.1615,0.26,190.0,50583.0,129.0,68.8,0 days 00:41:00
2000-07-21 13:17:00-12:00,47.31988,-45.16013,0.26,190.0,50566.0,113.0,68.8,0 days 00:42:00
2000-07-21 13:18:00-12:00,47.31908,-45.15879,0.263,192.0,50590.0,138.0,68.8,0 days 00:43:00
2000-07-21 13:19:00-12:00,47.31828,-45.1574,0.263,192.0,50606.0,154.0,68.8,0 days 00:44:00
2000-07-21 13:20:00-12:00,47.31747,-45.156,0.262,191.0,50567.0,115.0,68.8,0 days 00:45:00
2000-07-21 13:21:00-12:00,47.31665,-45.1546,0.266,195.0,50536.0,86.0,68.7,0 days 00:46:00
2000-07-21 13:22:00-12:00,47.31585,-45.15318,0.27,197.0,50505.0,54.0,68.9,0 days 00:47:00
2000-07-21 13:23:00-12:00,47.31504,-45.15177,0.268,196.0,50497.0,47.0,69.1,0 days 00:48:00
2000-07-21 13:24:00-12:00,47.31424,-45.15037,0.268,196.0,50500.0,50.0,69.2,0 days 00:49:00
2000-07-21 13:25:00-12:00,47.31344,-45.14898,0.266,195.0,50482.0,34.0,69.3,0 days 00:50:00
