,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2000-07-18 11:25:00-12:00,45.90862,-42.73056,6.214,4682.0,49468.0,66.0,19.6,0 days 00:01:00
2000-07-18 11:26:00-12:00,45.90849,-42.73159,6.214,4682.0,49468.0,66.0,19.3,0 days 00:01:00
2000-07-18 11:27:00-12:00,45.90841,-42.73258,6.214,4682.0,49470.0,68.0,19.1,0 days 00:01:00
2000-07-18 11:28:00-12:00,45.90832,-42.73354,6.212,4681.0,49469.0,66.0,19.1,0 days 00:01:00
2000-07-18 11:29:00-12:00,45.90815,-42.7345,6.215,4683.0,49470.0,68.0,19.2,0 days 00:01:00
2000-07-18 11:30:00-12:00,45.90796,-42.73544,6.214,4682.0,49471.0,68.0,19.4,0 days 00:01:00
2000-07-18 11:31:00-12:00,45.90779,-42.7364,6.216,4684.0,49474.0,71.0,19.5,0 days 00:01:00
2000-07-18 11:32:00-12:00,45.90758,-42.73734,6.22,4687.0,49474.0,71.0,19.5,0 days 00:01:00
2000-07-18 11:33:00-12:00,45.90737,-42.73824,6.216,4684.0,49472.0,69.0,19.6,0 days 00:01:00
2000-07-18 11:34:00-12:00,45.9072,-42.73919,6.216,4684.0,49474.0,71.0,19.6,0 days 00:01:00
2000-07-18 11:35:00-12:00,45.90713,-42.74013,6.218,4686.0,49474.0,70.0,19.5,0 days 00:01:00
2000-07-18 11:36:00-12:00,45.90707,-42.74106,6.213,4682.0,49476.0,72.0,19.5,0 days 00:01:00
2000-07-18 11:37:00-12:00,45.90704,-42.74196,6.217,4685.0,49476.0,72.0,19.4,0 days 00:01:00
2000-07-18 11:38:00-12:00,45.90696,-42.74286,6.217,4685.0,49476.0,72.0,19.3,0 days 00:01:00
2000-07-18 11:39:00-12:00,45.90683,-42.74377,6.217,4685.0,49475.0,71.0,19.4,0 days 00:01:00
2000-07-18 11:40:00-12:00,45.90664,-42.7447,6.217,4685.0,49474.0,70.0,19.5,0 days 00:01:00
2000-07-18 11:41:00-12:00,45.90651,-42.74569,6.214,4682.0,49476.0,72.0,19.6,0 days 00:01:00
2000-07-18 11:42:00-12:00,45.90642,-42.7467,6.216,4684.0,49477.0,73.0,19.6,0 days 00:01:00
2000-07-18 11:43:00-12:00,45.90636,-42.74769,6.216,4684.0,49476.0,72.0,19.6,0 days 00:01:00
