,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2001-03-28 11:12:00-12:00,30.29737,-42.06831,3.616,2718.0,40886.0,-332.0,56.6,0 days 00:02:00
2001-03-28 11:13:00-12:00,30.29752,-42.06683,3.593,2701.0,40900.0,-318.0,57.1,0 days 00:01:00
2001-03-28 11:14:00-12:00,30.2977,-42.06535,3.562,2678.0,40909.0,-308.0,54.3,0 days 00:01:00
2001-03-28 11:15:00-12:00,30.29788,-42.06382,3.57,2684.0,40908.0,-310.0,54.0,0 days 00:01:00
2001-03-28 11:16:00-12:00,30.29807,-42.0623,3.624,2724.0,40909.0,-308.0,55.1,0 days 00:01:00
2001-03-28 11:17:00-12:00,30.29825,-42.06076,3.635,2732.0,40900.0,-317.0,54.3,0 days 00:01:00
2001-03-28 11:19:00-12:00,30.29854,-42.05781,3.525,2650.0,40923.0,-294.0,53.9,0 days 00:02:00
2001-03-28 11:20:00-12:00,30.29584,-42.08249,3.074,2311.0,40803.0,-416.0,64.5,0 days 00:01:00
2001-03-28 11:21:00-12:00,30.29882,-42.05515,3.528,2652.0,40964.0,-252.0,53.4,0 days 00:01:00
2001-03-28 11:24:00-12:00,30.2993,-42.05115,3.452,2595.0,40987.0,-230.0,50.2,0 days 00:03:00
2001-03-28 11:25:00-12:00,30.29946,-42.04979,3.395,2552.0,40990.0,-226.0,50.6,0 days 00:01:00
2001-03-28 11:26:00-12:00,30.29961,-42.04838,3.354,2522.0,40999.0,-217.0,47.5,0 days 00:01:00
2001-03-28 11:27:00-12:00,30.2998,-42.04695,3.321,2497.0,41025.0,-191.0,48.2,0 days 00:01:00
2001-03-28 11:29:00-12:00,30.30015,-42.04411,3.194,2401.0,41018.0,-198.0,46.5,0 days 00:02:00
2001-03-28 11:30:00-12:00,30.30033,-42.04274,3.204,2408.0,41024.0,-192.0,46.8,0 days 00:01:00
