,LAT,LON,CORR_DEPTH,MAG_TOT,MAG_TOT2,MAG_RES,GRA_OBS,EOTVOS,FREEAIR,LINEID,DT
2017-09-12 10:01:00+00:00,-27.711,73.61619,3000.7,47613.8,47599.3,2.1,979169.3,38.7,19.7,7-103,0 days 00:01:00
2017-09-12 10:11:00+00:00,-27.69663,73.63631,3208.7,47583.1,47577.1,-46.8,979160.7,39.5,12.0,7-103,0 days 00:10:00
2017-09-12 10:12:00+00:00,-27.69514,73.63819,3180.3,47562.4,47577.2,-55.1,979161.2,40.2,12.0,7-103,0 days 00:01:00
2017-09-12 10:13:00+00:00,-27.69366,73.64007,3122.3,47564.7,47566.9,-58.9,979159.0,40.2,11.8,7-103,0 days 00:01:00
2017-09-12 10:14:00+00:00,-27.69219,73.64192,3157.4,47561.5,47564.4,-62.6,979159.3,39.5,11.4,7-103,0 days 00:01:00
2017-09-12 10:15:00+00:00,-27.69072,73.64377,3132.0,47560.0,47551.9,-67.0,979159.6,40.1,11.0,7-103,0 days 00:01:00
2017-09-12 10:16:00+00:00,-27.68926,73.64566,3113.1,47553.7,47557.1,-69.8,979158.4,40.5,10.9,7-103,0 days 00:01:00
2017-09-12 10:17:00+00:00,-27.68778,73.6476,3071.3,47556.1,47551.0,-71.8,979158.3,41.3,10.7,7-103,0 days 00:01:00
2017-09-12 10:18:00+00:00,-27.68631,73.64953,3066.2,47558.4,47554.3,-72.7,979157.9,41.0,10.5,7-103,0 days 00:01:00
2017-09-12 10:19:00+00:00,-27.68484,73.65146,3164.8,47555.3,47553.8,-73.5,979156.8,41.1,9.9,7-103,0 days 00:01:00
2017-09-12 10:20:00+00:00,-27.68337,73.65338,3121.3,47555.1,47556.8,-71.5,979156.8,40.9,9.5,7-103,0 days 00:01:00
2017-09-12 10:21:00+00:00,-27.68189,73.65528,3081.1,47559.9,47555.0,-69.0,979157.1,41.0,9.2,7-103,0 days 00:01:00
2017-09-12 10:22:00+00:00,-27.68042,73.6572,3051.4,47563.4,47574.5,-65.3,979156.3,41.2,9.0,7-103,0 days 00:01:00
2017-09-12 10:23:00+00:00,-27.67894,73.65913,3179.7,47583.5,47566.3,-62.1,979155.6,41.0,8.8,7-103,0 days 00:01:00
2017-09-12 10:24:00+00:00,-27.67748,73.66106,3147.4,47572.0,47567.6,-56.0,979155.1,40.8,8.4,7-103,0 days 00:01:00
2017-09-12 10:25:00+00:00,-27.67601,73.66299,3174.7,47579.0,47575.0,-50.6,979155.0,40.9,7.9,7-103,0 days 00:01:00
2017-09-12 10:26:00+00:00,-27.67454,73.66491,3156.8,47586.3,47581.6,-47.6,979154.3,40.9,7.5,7-103,0 days 00:01:00
2017-09-12 10:27:00+00:00,-27.67305,73.6668,3124.4,47590.6,47584.0,-41.2,979154.3,40.5,7.3,7-103,0 days 00:01:00
2017-09-12 10:28:00+00:00,-27.67156,73.66868,3080.9,47624.0,47590.1,-33.8,979154.1,40.2,7.0,7-103,0 days 00:01:00
2017-09-12 10:29:00+00:00,-27.67009,73.67055,3007.5,47603.8,47596.0,-29.0,979152.3,39.7,6.5,7-103,0 days 00:01:00
2017-09-12 10:30:00+00:00,-27.66864,73.67242,3005.9,47611.3,47604.3,-23.2,979152.1,39.8,6.0,7-103,0 days 00:01:00
2017-09-12 10:31:00+00:00,-27.66721,73.67428,2906.9,47620.3,47611.6,-18.0,979151.4,39.2,5.8,7-103,0 days 00:01:00
2017-09-12 10:32:00+00:00,-27.66579,73.67613,2889.9,47615.6,47607.1,-10.3,979153.0,39.9,5.6,7-103,0 days 00:01:00
2017-09-12 10:33:00+00:00,-27.66436,73.67799,2938.7,47626.7,47625.0,-8.1,979151.0,39.5,5.3,7-103,0 days 00:01:00
2017-09-12 10:34:00+00:00,-27.66294,73.67985,2940.7,47629.5,47627.2,-4.9,979149.6,40.4,4.9,7-103,0 days 00:01:00
2017-09-12 10:35:00+00:00,-27.6615,73.68175,3058.0,47635.7,47632.8,-1.1,979149.8,40.1,4.4,7-103,0 days 00:01:00
2017-09-12 10:36:00+00:00,-27.66003,73.68367,3178.5,47636.2,47636.1,1.0,979150.2,41.5,4.0,7-103,0 days 00:01:00
2017-09-12 10:37:00+00:00,-27.65856,73.68561,3142.1,47638.4,47630.2,5.9,979149.3,41.5,3.5,7-103,0 days 00:01:00
2017-09-12 10:38:00+00:00,-27.65708,73.68756,3169.5,47639.6,47647.2,9.7,979148.4,41.4,2.6,7-103,0 days 00:01:00
2017-09-12 10:39:00+00:00,-27.65562,73.68947,3303.9,47650.5,47634.6,9.7,979146.8,40.7,1.9,7-103,0 days 00:01:00
2017-09-12 10:40:00+00:00,-27.65419,73.69137,3351.6,47653.2,47638.6,12.6,979147.0,40.5,1.6,7-103,0 days 00:01:00
2017-09-12 10:41:00+00:00,-27.65275,73.69327,3408.3,47651.8,47654.8,16.5,979145.9,40.5,1.4,7-103,0 days 00:01:00
2017-09-12 10:42:00+00:00,-27.65131,73.69516,3388.5,47660.8,47659.4,20.2,979146.2,40.4,1.0,7-103,0 days 00:01:00
2017-09-12 10:43:00+00:00,-27.64988,73.69704,3305.0,47662.2,47661.8,25.1,979145.3,39.7,0.5,7-103,0 days 00:01:00
2017-09-12 10:44:00+00:00,-27.64845,73.6989,3315.1,47671.9,47650.6,32.3,979145.6,39.6,0.2,7-103,0 days 00:01:00
2017-09-12 10:45:00+00:00,-27.64702,73.70076,3342.0,47673.2,47676.3,37.2,979143.7,39.6,0.2,7-103,0 days 00:01:00
2017-09-12 10:46:00+00:00,-27.64558,73.70264,3360.6,47692.1,47681.3,42.7,979144.6,40.4,0.1,7-103,0 days 00:01:00
2017-09-12 10:47:00+00:00,-27.6451,73.70327,3373.1,47702.9,47685.3,44.0,979145.2,40.4,0.1,7-103,0 days 00:01:00
2017-09-12 10:49:00+00:00,-27.6412,73.70833,3449.2,47696.2,47698.0,56.4,979144.1,40.9,-0.1,7-103,0 days 00:02:00
2017-09-12 10:50:00+00:00,-27.63974,73.71025,3432.5,47704.1,47701.9,60.0,979143.7,41.0,-0.2,7-103,0 days 00:01:00
2017-09-12 10:51:00+00:00,-27.63876,73.71154,3426.4,47703.0,47705.4,60.8,979143.8,41.3,-0.1,7-103,0 days 00:01:00
2017-09-12 10:52:00+00:00,-27.63777,73.71282,3434.4,47705.4,47713.1,61.3,979143.5,40.9,-0.1,7-103,0 days 00:01:00
2017-09-12 10:53:00+00:00,-27.63533,73.71603,3382.9,47703.2,47706.8,58.9,979144.3,41.2,0.3,7-103,0 days 00:01:00
2017-09-12 10:54:00+00:00,-27.63386,73.71795,3415.7,47702.9,47699.2,53.4,979143.9,40.9,0.5,7-103,0 days 00:01:00
