,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2000-08-05 03:12:00-12:00,44.37802,-46.1638,5.272,3946.0,49113.0,-253.0,38.4,0 days 00:02:00
2000-08-05 03:13:00-12:00,44.37882,-46.16516,5.272,3946.0,49117.0,-250.0,38.5,0 days 00:01:00
2000-08-05 03:14:00-12:00,44.37961,-46.1665,5.269,3944.0,49119.0,-248.0,38.5,0 days 00:01:00
2000-08-05 03:15:00-12:00,44.3804,-46.16783,5.273,3947.0,49121.0,-246.0,38.5,0 days 00:01:00
2000-08-05 03:16:00-12:00,44.38121,-46.16915,5.273,3947.0,49120.0,-249.0,38.5,0 days 00:01:00
2000-08-05 03:17:00-12:00,44.382,-46.17049,5.274,3948.0,49123.0,-246.0,38.5,0 days 00:01:00
2000-08-05 03:18:00-12:00,44.38279,-46.17179,5.278,3950.0,49124.0,-245.0,38.5,0 days 00:01:00
2000-08-05 03:19:00-12:00,44.38357,-46.17306,5.282,3954.0,49126.0,-244.0,38.5,0 days 00:01:00
2000-08-05 03:20:00-12:00,44.38434,-46.17431,5.274,3948.0,49128.0,-243.0,38.6,0 days 00:01:00
2000-08-05 03:21:00-12:00,44.38516,-46.17557,5.272,3946.0,49132.0,-239.0,38.7,0 days 00:01:00
2000-08-05 03:22:00-12:00,44.38591,-46.17684,5.272,3946.0,49131.0,-241.0,38.9,0 days 00:01:00
2000-08-05 03:23:00-12:00,44.38666,-46.17812,5.263,3939.0,49132.0,-241.0,38.9,0 days 00:01:00
2000-08-05 03:24:00-12:00,44.38741,-46.17944,5.263,3939.0,49134.0,-239.0,38.9,0 days 00:01:00
2000-08-05 03:25:00-12:00,44.38816,-46.18075,5.268,3943.0,49134.0,-240.0,38.9,0 days 00:01:00
2000-08-05 03:26:00-12:00,44.38889,-46.18203,5.27,3944.0,49136.0,-239.0,38.8,0 days 00:01:00
2000-08-05 03:27:00-12:00,44.38959,-46.18334,5.273,3947.0,49138.0,-237.0,38.7,0 days 00:01:00
2000-08-05 03:28:00-12:00,44.39032,-46.1846,5.277,3950.0,49141.0,-235.0,38.7,0 days 00:01:00
2000-08-05 03:29:00-12:00,44.39106,-46.18585,5.268,3943.0,49145.0,-231.0,38.7,0 days 00:01:00
2000-08-05 03:30:00-12:00,44.39182,-46.18708,5.258,3936.0,49143.0,-234.0,38.8,0 days 00:01:00
2000-08-05 03:31:00-12:00,44.39258,-46.18833,5.258,3936.0,49143.0,-234.0,39.0,0 days 00:01:00
2000-08-05 03:32:00-12:00,44.39329,-46.18956,5.257,3935.0,49151.0,-227.0,39.2,0 days 00:01:00
2000-08-05 03:33:00-12:00,44.39402,-46.19086,5.266,3942.0,49152.0,-226.0,39.2,0 days 00:01:00
2000-08-05 03:34:00-12:00,44.39477,-46.19213,5.26,3937.0,49153.0,-226.0,39.2,0 days 00:01:00
2000-08-05 03:35:00-12:00,44.39549,-46.19336,5.253,3932.0,49153.0,-227.0,39.0,0 days 00:01:00
2000-08-05 03:36:00-12:00,44.39621,-46.19459,5.253,3932.0,49158.0,-222.0,38.9,0 days 00:01:00
2000-08-05 03:37:00-12:00,44.39692,-46.19582,5.252,3931.0,49156.0,-224.0,38.8,0 days 00:01:00
2000-08-05 03:38:00-12:00,44.39764,-46.19704,5.257,3935.0,49162.0,-219.0,38.8,0 days 00:01:00
