,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2001-03-18 06:11:00-12:00,30.79957,-45.72259,5.612,4234.0,42101.0,0.0,16.6,0 days 00:01:00
2001-03-18 06:12:00-12:00,30.79896,-45.71904,5.616,4237.0,42103.0,3.0,16.8,0 days 00:01:00
2001-03-18 06:13:00-12:00,30.79835,-45.71547,5.617,4238.0,42101.0,2.0,16.9,0 days 00:01:00
2001-03-18 06:14:00-12:00,30.7977,-45.71193,5.613,4235.0,42106.0,8.0,16.8,0 days 00:01:00
2001-03-18 06:15:00-12:00,30.79704,-45.70836,5.618,4239.0,42108.0,11.0,16.7,0 days 00:01:00
2001-03-18 06:16:00-12:00,30.79651,-45.70473,5.613,4235.0,42112.0,16.0,16.9,0 days 00:01:00
2001-03-18 06:17:00-12:00,30.79591,-45.70114,5.606,4229.0,42110.0,15.0,17.2,0 days 00:01:00
2001-03-18 06:18:00-12:00,30.79528,-45.69765,5.592,4219.0,42111.0,17.0,17.6,0 days 00:01:00
2001-03-18 06:19:00-12:00,30.79468,-45.69416,5.598,4223.0,42114.0,20.0,18.1,0 days 00:01:00
2001-03-18 06:20:00-12:00,30.79411,-45.69065,5.6,4225.0,42111.0,18.0,18.2,0 days 00:01:00
2001-03-18 06:21:00-12:00,30.79347,-45.68712,5.573,4205.0,42113.0,21.0,18.2,0 days 00:01:00
2001-03-18 06:22:00-12:00,30.79291,-45.68352,5.573,4205.0,42109.0,18.0,18.2,0 days 00:01:00
2001-03-18 06:23:00-12:00,30.79227,-45.6799,5.57,4203.0,42108.0,18.0,18.3,0 days 00:01:00
2001-03-18 06:24:00-12:00,30.79164,-45.67631,5.536,4176.0,42106.0,18.0,19.0,0 days 00:01:00
2001-03-18 06:25:00-12:00,30.79107,-45.67271,5.541,4180.0,42109.0,22.0,19.4,0 days 00:01:00
2001-03-18 06:26:00-12:00,30.79041,-45.66922,5.542,4180.0,42108.0,22.0,20.1,0 days 00:01:00
2001-03-18 06:27:00-12:00,30.78988,-45.66572,5.508,4155.0,42104.0,18.0,20.4,0 days 00:01:00
2001-03-18 06:28:00-12:00,30.78931,-45.66218,5.46,4118.0,42094.0,9.0,20.5,0 days 00:01:00
2001-03-18 06:29:00-12:00,30.78871,-45.65866,5.466,4123.0,42100.0,16.0,20.7,0 days 00:01:00
2001-03-18 06:30:00-12:00,30.78809,-45.65506,5.474,4129.0,42095.0,12.0,20.8,0 days 00:01:00
2001-03-18 06:31:00-12:00,30.7875,-45.65149,5.468,4124.0,42096.0,14.0,21.2,0 days 00:01:00
2001-03-18 06:32:00-12:00,30.78688,-45.64792,5.41,4080.0,42092.0,11.0,21.7,0 days 00:01:00
2001-03-18 06:33:00-12:00,30.7863,-45.64435,5.386,4062.0,42092.0,12.0,21.9,0 days 00:01:00
2001-03-18 06:34:00-12:00,30.78569,-45.64083,5.448,4109.0,42091.0,12.0,22.4,0 days 00:01:00
2001-03-18 06:35:00-12:00,30.78511,-45.63724,5.401,4073.0,42089.0,11.0,22.6,0 days 00:01:00
2001-03-18 06:36:00-12:00,30.78447,-45.63366,5.366,4045.0,42091.0,13.0,22.5,0 days 00:01:00
2001-03-18 06:37:00-12:00,30.78387,-45.63008,5.391,4065.0,42088.0,12.0,22.7,0 days 00:01:00
2001-03-18 06:38:00-12:00,30.78323,-45.62644,5.292,3990.0,42087.0,11.0,22.8,0 days 00:01:00
2001-03-18 06:39:00-12:00,30.78262,-45.62281,5.245,3954.0,42079.0,4.0,22.9,0 days 00:01:00
2001-03-18 06:40:00-12:00,30.80392,-45.74773,5.6,4225.0,42083.0,-25.0,15.5,0 days 00:01:00
2001-03-18 06:41:00-12:00,30.78137,-45.61562,5.185,3909.0,42088.0,15.0,23.0,0 days 00:01:00
2001-03-18 06:42:00-12:00,30.78077,-45.61202,5.078,3826.0,42086.0,15.0,23.3,0 days 00:01:00
2001-03-18 06:43:00-12:00,30.7802,-45.60846,5.141,3875.0,42084.0,13.0,23.2,0 days 00:01:00
2001-03-18 06:44:00-12:00,30.77959,-45.60486,5.188,3911.0,42086.0,16.0,23.2,0 days 00:01:00
