,LAT,LON,CORR_DEPTH,MAG_TOT,MAG_TOT2,MAG_RES,GRA_OBS,EOTVOS,FREEAIR,LINEID,DT
2017-09-12 20:39:00+00:00,-27.64143,73.9664,3078.4,48015.3,48014.9,258.4,979178.7,-41.0,34.6,7-108,0 days 00:01:00
2017-09-12 20:40:00+00:00,-27.64299,73.96445,2892.7,48011.4,48012.8,259.0,979179.9,-40.8,35.4,7-108,0 days 00:01:00
2017-09-12 20:41:00+00:00,-27.64451,73.96251,2876.7,48017.8,48009.0,263.0,979179.9,-40.5,35.6,7-108,0 days 00:01:00
2017-09-12 20:42:00+00:00,-27.64601,73.96061,2868.0,48022.5,48019.7,272.9,979180.4,-39.9,36.1,7-108,0 days 00:01:00
2017-09-12 20:43:00+00:00,-27.64748,73.95873,2855.4,48027.3,48028.4,277.8,979181.3,-39.7,36.7,7-108,0 days 00:01:00
2017-09-12 20:44:00+00:00,-27.64894,73.95684,2803.1,48030.6,48033.3,285.5,979181.8,-39.8,37.0,7-108,0 days 00:01:00
2017-09-12 20:45:00+00:00,-27.6504,73.95495,2722.4,48041.6,48040.7,295.4,979182.1,-40.0,37.3,7-108,0 days 00:01:00
2017-09-12 20:46:00+00:00,-27.65187,73.95305,2657.7,48048.8,48049.3,299.4,979183.1,-40.2,38.2,7-108,0 days 00:01:00
2017-09-12 20:47:00+00:00,-27.65333,73.95113,2590.1,48054.1,48034.4,305.8,979183.7,-40.3,38.6,7-108,0 days 00:01:00
2017-09-12 20:48:00+00:00,-27.6548,73.94922,2559.5,48057.2,48048.3,305.9,979184.3,-40.3,39.0,7-108,0 days 00:01:00
2017-09-12 20:49:00+00:00,-27.65628,73.9473,2454.7,48053.2,48058.6,305.4,979185.2,-40.5,39.7,7-108,0 days 00:01:00
2017-09-12 20:50:00+00:00,-27.65776,73.94538,2455.2,48054.5,48017.0,301.7,979185.3,-40.7,40.0,7-108,0 days 00:01:00
2017-09-12 20:51:00+00:00,-27.65924,73.94344,2426.1,48035.1,48045.3,288.5,979186.1,-40.8,40.3,7-108,0 days 00:01:00
2017-09-12 20:52:00+00:00,-27.66072,73.9415,2394.6,48027.6,47968.6,278.7,979186.9,-40.3,40.8,7-108,0 days 00:01:00
2017-09-12 20:53:00+00:00,-27.66219,73.93959,2370.9,48011.5,48019.5,263.6,979186.6,-40.2,41.0,7-108,0 days 00:01:00
2017-09-12 20:54:00+00:00,-27.66366,73.93769,2374.8,48028.2,48019.5,245.6,979187.0,-40.0,41.1,7-108,0 days 00:01:00
2017-09-12 20:55:00+00:00,-27.66511,73.9358,2510.6,47967.5,47991.3,236.2,979187.4,-39.9,41.1,7-108,0 days 00:01:00
2017-09-12 20:56:00+00:00,-27.66656,73.93391,2605.7,47966.8,47982.5,221.7,979187.0,-39.9,41.1,7-108,0 days 00:01:00
