,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2000-07-27 15:11:00-12:00,45.83203,-45.6398,4.546,3393.0,49762.0,-150.0,18.6,0 days 00:01:00
2000-07-27 15:12:00-12:00,45.83279,-45.64144,4.548,3394.0,49762.0,-152.0,18.5,0 days 00:01:00
2000-07-27 15:13:00-12:00,45.83361,-45.64301,4.544,3391.0,49762.0,-152.0,18.0,0 days 00:01:00
2000-07-27 15:14:00-12:00,45.83435,-45.64467,4.541,3389.0,49758.0,-156.0,17.6,0 days 00:01:00
2000-07-27 15:15:00-12:00,45.83515,-45.64627,4.539,3387.0,49760.0,-156.0,17.3,0 days 00:01:00
2000-07-27 15:16:00-12:00,45.83593,-45.64787,4.538,3387.0,49759.0,-157.0,17.1,0 days 00:01:00
2000-07-27 15:17:00-12:00,45.83671,-45.64947,4.537,3386.0,49761.0,-156.0,16.9,0 days 00:01:00
2000-07-27 15:18:00-12:00,45.83752,-45.65107,4.534,3383.0,49763.0,-154.0,16.8,0 days 00:01:00
2000-07-27 15:19:00-12:00,45.8383,-45.65273,4.534,3383.0,49766.0,-152.0,16.9,0 days 00:01:00
2000-07-27 15:20:00-12:00,45.83912,-45.65436,4.533,3383.0,49767.0,-151.0,16.7,0 days 00:01:00
2000-07-27 15:21:00-12:00,45.83991,-45.65596,4.533,3383.0,49768.0,-151.0,16.4,0 days 00:01:00
2000-07-27 15:22:00-12:00,45.84067,-45.65756,4.532,3382.0,49771.0,-149.0,16.1,0 days 00:01:00
2000-07-27 15:23:00-12:00,45.84145,-45.65916,4.529,3380.0,49774.0,-147.0,16.0,0 days 00:01:00
2000-07-27 15:24:00-12:00,45.84226,-45.66076,4.53,3381.0,49777.0,-144.0,15.8,0 days 00:01:00
2000-07-27 15:25:00-12:00,45.84306,-45.66238,4.528,3379.0,49779.0,-143.0,15.8,0 days 00:01:00
2000-07-27 15:26:00-12:00,45.84385,-45.664,4.526,3377.0,49783.0,-140.0,15.7,0 days 00:01:00
2000-07-27 15:27:00-12:00,45.84466,-45.66564,4.526,3377.0,49788.0,-136.0,15.6,0 days 00:01:00
2000-07-27 15:28:00-12:00,45.84544,-45.66728,4.524,3376.0,49796.0,-128.0,15.4,0 days 00:01:00
2000-07-27 15:29:00-12:00,45.84623,-45.66887,4.522,3375.0,49797.0,-128.0,14.8,0 days 00:01:00
2000-07-27 15:30:00-12:00,45.84702,-45.67049,4.52,3373.0,49803.0,-122.0,14.6,0 days 00:01:00
2000-07-27 15:31:00-12:00,45.84781,-45.67213,4.518,3371.0,49808.0,-117.0,14.4,0 days 00:01:00
2000-07-27 15:32:00-12:00,45.84854,-45.67376,4.518,3371.0,49815.0,-111.0,14.3,0 days 00:01:00
2000-07-27 15:33:00-12:00,45.84938,-45.67551,4.513,3368.0,49819.0,-108.0,14.1,0 days 00:01:00
2000-07-27 15:34:00-12:00,45.85018,-45.67712,4.513,3368.0,49826.0,-102.0,13.8,0 days 00:01:00
2000-07-27 15:35:00-12:00,45.85096,-45.67869,4.51,3365.0,49829.0,-100.0,13.5,0 days 00:01:00
2000-07-27 15:36:00-12:00,45.85177,-45.68028,4.497,3355.0,49834.0,-95.0,13.4,0 days 00:01:00
2000-07-27 15:37:00-12:00,45.85259,-45.68187,4.494,3352.0,49839.0,-91.0,13.0,0 days 00:01:00
2000-07-27 15:38:00-12:00,45.8534,-45.68346,4.484,3345.0,49843.0,-87.0,13.1,0 days 00:01:00
2000-07-27 15:39:00-12:00,45.8542,-45.68502,4.48,3342.0,49850.0,-81.0,13.0,0 days 00:01:00
2000-07-27 15:40:00-12:00,45.82651,-45.62861,4.564,3406.0,49790.0,-118.0,20.7,0 days 00:01:00
2000-07-27 15:44:00-12:00,45.85831,-45.69304,4.43,3303.0,49877.0,-57.0,11.7,0 days 00:04:00
2000-07-27 15:45:00-12:00,45.8591,-45.69462,4.425,3300.0,49881.0,-54.0,11.6,0 days 00:01:00
2000-07-27 15:46:00-12:00,45.8599,-45.69622,4.418,3295.0,49891.0,-44.0,11.7,0 days 00:01:00
2000-07-27 15:47:00-12:00,45.86067,-45.69773,4.409,3288.0,49890.0,-46.0,11.8,0 days 00:01:00
2000-07-27 15:48:00-12:00,45.86143,-45.69938,4.394,3277.0,49895.0,-42.0,11.6,0 days 00:01:00
2000-07-27 15:49:00-12:00,45.86224,-45.70103,4.386,3271.0,49901.0,-36.0,11.4,0 days 00:01:00
2000-07-27 15:50:00-12:00,45.8273,-45.6302,4.56,3403.0,49784.0,-125.0,20.4,0 days 00:01:00
2000-07-27 15:51:00-12:00,45.86385,-45.70432,4.374,3261.0,49909.0,-30.0,11.2,0 days 00:01:00
2000-07-27 15:52:00-12:00,45.86462,-45.70597,4.365,3255.0,49913.0,-27.0,11.0,0 days 00:01:00
2000-07-27 15:53:00-12:00,45.8654,-45.70763,4.364,3254.0,49915.0,-25.0,10.8,0 days 00:01:00
2000-07-27 15:54:00-12:00,45.86612,-45.70929,4.36,3251.0,49920.0,-21.0,10.7,0 days 00:01:00
2000-07-27 15:55:00-12:00,45.86685,-45.71095,4.358,3249.0,49926.0,-16.0,10.4,0 days 00:01:00
2000-07-27 15:56:00-12:00,45.86759,-45.71259,4.353,3246.0,49928.0,-14.0,10.1,0 days 00:01:00
2000-07-27 15:57:00-12:00,45.86835,-45.71417,4.349,3243.0,49934.0,-9.0,9.9,0 days 00:01:00
2000-07-27 15:58:00-12:00,45.86914,-45.71573,4.345,3240.0,49939.0,-5.0,9.6,0 days 00:01:00
2000-07-27 15:59:00-12:00,45.86994,-45.71729,4.34,3236.0,49944.0,0.0,9.5,0 days 00:01:00
2000-07-27 16:00:00-12:00,45.87073,-45.71883,4.337,3234.0,49948.0,3.0,9.6,0 days 00:01:00
2000-07-27 16:10:00-12:00,45.87852,-45.73425,4.314,3216.0,49981.0,30.0,8.7,0 days 00:10:00
2000-07-27 16:11:00-12:00,45.87924,-45.73583,4.314,3216.0,49987.0,35.0,8.8,0 days 00:01:00
2000-07-27 16:12:00-12:00,45.87999,-45.73737,4.314,3216.0,49988.0,36.0,8.6,0 days 00:01:00
2000-07-27 16:13:00-12:00,45.88076,-45.73888,4.309,3212.0,49989.0,36.0,8.6,0 days 00:01:00
2000-07-27 16:14:00-12:00,45.88152,-45.74042,4.309,3212.0,49995.0,41.0,8.6,0 days 00:01:00
2000-07-27 16:15:00-12:00,45.88228,-45.74194,4.309,3212.0,49997.0,43.0,8.6,0 days 00:01:00
2000-07-27 16:16:00-12:00,45.88301,-45.74346,4.308,3211.0,50000.0,45.0,8.6,0 days 00:01:00
2000-07-27 16:17:00-12:00,45.88377,-45.74495,4.306,3210.0,50003.0,47.0,8.6,0 days 00:01:00
2000-07-27 16:18:00-12:00,45.88452,-45.7465,4.304,3208.0,50005.0,49.0,8.5,0 days 00:01:00
2000-07-27 16:19:00-12:00,45.88524,-45.74806,4.302,3206.0,50006.0,50.0,8.6,0 days 00:01:00
2000-07-27 16:20:00-12:00,45.88598,-45.74959,4.304,3208.0,50011.0,54.0,8.4,0 days 00:01:00
2000-07-27 16:21:00-12:00,45.88671,-45.75106,4.298,3204.0,50014.0,56.0,8.3,0 days 00:01:00
2000-07-27 16:22:00-12:00,45.88744,-45.75256,4.288,3196.0,50018.0,60.0,8.1,0 days 00:01:00
2000-07-27 16:23:00-12:00,45.88819,-45.75409,4.274,3186.0,50019.0,60.0,8.2,0 days 00:01:00
2000-07-27 16:24:00-12:00,45.88897,-45.75562,4.265,3179.0,50018.0,59.0,8.2,0 days 00:01:00
2000-07-27 16:25:00-12:00,45.88973,-45.75723,4.256,3172.0,50023.0,63.0,8.1,0 days 00:01:00
2000-07-27 16:26:00-12:00,45.89052,-45.75878,4.244,3163.0,50027.0,66.0,8.1,0 days 00:01:00
2000-07-27 16:27:00-12:00,45.8913,-45.76032,4.234,3156.0,50028.0,66.0,8.3,0 days 00:01:00
2000-07-27 16:28:00-12:00,45.89208,-45.76189,4.222,3146.0,50030.0,68.0,8.4,0 days 00:01:00
2000-07-27 16:29:00-12:00,45.89283,-45.76351,4.205,3134.0,50035.0,72.0,8.4,0 days 00:01:00
2000-07-27 16:30:00-12:00,45.89361,-45.7651,4.193,3124.0,50034.0,71.0,8.3,0 days 00:01:00
2000-07-27 16:31:00-12:00,45.89435,-45.76669,4.193,3124.0,50038.0,74.0,8.2,0 days 00:01:00
2000-07-27 16:32:00-12:00,45.89511,-45.7682,4.185,3118.0,50042.0,77.0,8.1,0 days 00:01:00
2000-07-27 16:33:00-12:00,45.8959,-45.76976,4.182,3115.0,50046.0,81.0,7.9,0 days 00:01:00
2000-07-27 16:34:00-12:00,45.89668,-45.77132,4.174,3109.0,50047.0,81.0,7.9,0 days 00:01:00
2000-07-27 16:35:00-12:00,45.89745,-45.77288,4.17,3107.0,50050.0,83.0,8.1,0 days 00:01:00
2000-07-27 16:36:00-12:00,45.89822,-45.77444,4.156,3096.0,50051.0,84.0,8.3,0 days 00:01:00
2000-07-27 16:37:00-12:00,45.89897,-45.77602,4.142,3085.0,50053.0,85.0,8.2,0 days 00:01:00
2000-07-27 16:38:00-12:00,45.89972,-45.77758,4.136,3081.0,50056.0,87.0,8.4,0 days 00:01:00
2000-07-27 16:39:00-12:00,45.90052,-45.77916,4.118,3067.0,50061.0,92.0,8.5,0 days 00:01:00
2000-07-27 16:40:00-12:00,45.90132,-45.7807,4.116,3066.0,50064.0,94.0,8.6,0 days 00:01:00
2000-07-27 16:41:00-12:00,45.90209,-45.78226,4.105,3058.0,50066.0,95.0,8.9,0 days 00:01:00
2000-07-27 16:42:00-12:00,45.90287,-45.78383,4.098,3053.0,50069.0,98.0,9.1,0 days 00:01:00
2000-07-27 16:43:00-12:00,45.90365,-45.78541,4.092,3048.0,50070.0,98.0,9.1,0 days 00:01:00
2000-07-27 16:44:00-12:00,45.90442,-45.78704,4.101,3055.0,50073.0,100.0,8.9,0 days 00:01:00
2000-07-27 16:45:00-12:00,45.90517,-45.78863,4.105,3058.0,50074.0,101.0,8.9,0 days 00:01:00
2000-07-27 16:46:00-12:00,45.90586,-45.79019,4.105,3058.0,50075.0,102.0,9.1,0 days 00:01:00
2000-07-27 16:47:00-12:00,45.90671,-45.79188,4.105,3058.0,50080.0,106.0,9.2,0 days 00:01:00
2000-07-27 16:48:00-12:00,45.90749,-45.7935,4.084,3042.0,50078.0,104.0,9.5,0 days 00:01:00
2000-07-27 16:49:00-12:00,45.90825,-45.7951,4.06,3023.0,50083.0,107.0,9.9,0 days 00:01:00
2000-07-27 16:50:00-12:00,45.87456,-45.72665,4.322,3222.0,49965.0,18.0,9.4,0 days 00:01:00
2000-07-27 16:51:00-12:00,45.90981,-45.7983,4.014,2988.0,50086.0,109.0,10.3,0 days 00:01:00
2000-07-27 16:52:00-12:00,45.91057,-45.79992,4.006,2982.0,50089.0,112.0,10.6,0 days 00:01:00
2000-07-27 16:53:00-12:00,45.91135,-45.8015,3.982,2964.0,50092.0,114.0,10.7,0 days 00:01:00
2000-07-27 16:54:00-12:00,45.91212,-45.80307,3.973,2958.0,50095.0,116.0,10.9,0 days 00:01:00
2000-07-27 16:55:00-12:00,45.91293,-45.8046,3.956,2945.0,50093.0,114.0,11.0,0 days 00:01:00
2000-07-27 16:56:00-12:00,45.91373,-45.80616,3.946,2938.0,50096.0,116.0,11.2,0 days 00:01:00
2000-07-27 16:57:00-12:00,45.91452,-45.80777,3.932,2926.0,50100.0,119.0,11.6,0 days 00:01:00
2000-07-27 16:58:00-12:00,45.91527,-45.8094,3.904,2905.0,50101.0,120.0,11.7,0 days 00:01:00
