,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2001-03-18 10:11:00-12:00,30.65313,-44.85985,4.311,3243.0,41829.0,-36.0,57.2,0 days 00:01:00
2001-03-18 10:12:00-12:00,30.65254,-44.8562,4.269,3212.0,41828.0,-38.0,57.1,0 days 00:01:00
2001-03-18 10:13:00-12:00,30.65192,-44.85251,4.264,3208.0,41824.0,-40.0,57.0,0 days 00:01:00
2001-03-18 10:14:00-12:00,30.65126,-44.84881,4.142,3115.0,41821.0,-42.0,56.8,0 days 00:01:00
2001-03-18 10:15:00-12:00,30.65067,-44.84513,4.073,3064.0,41814.0,-48.0,56.7,0 days 00:01:00
2001-03-18 10:16:00-12:00,30.65003,-44.84143,3.97,2986.0,41812.0,-49.0,56.6,0 days 00:01:00
2001-03-18 10:17:00-12:00,30.64941,-44.83773,3.876,2914.0,41804.0,-56.0,56.6,0 days 00:01:00
2001-03-18 10:18:00-12:00,30.64884,-44.83407,3.8,2857.0,41800.0,-59.0,56.3,0 days 00:01:00
2001-03-18 10:19:00-12:00,30.64824,-44.83038,3.808,2863.0,41796.0,-62.0,56.0,0 days 00:01:00
2001-03-18 10:20:00-12:00,30.64766,-44.8267,3.784,2845.0,41791.0,-66.0,55.7,0 days 00:01:00
2001-03-18 10:21:00-12:00,30.64704,-44.82299,4.029,3030.0,41788.0,-68.0,55.2,0 days 00:01:00
2001-03-18 10:22:00-12:00,30.64635,-44.81933,4.065,3057.0,41782.0,-73.0,54.8,0 days 00:01:00
2001-03-18 10:23:00-12:00,30.64576,-44.81564,4.168,3135.0,41777.0,-77.0,54.2,0 days 00:01:00
2001-03-18 10:24:00-12:00,30.64514,-44.81193,4.181,3145.0,41768.0,-86.0,53.5,0 days 00:01:00
2001-03-18 10:25:00-12:00,30.64447,-44.80824,4.189,3151.0,41767.0,-86.0,52.9,0 days 00:01:00
2001-03-18 10:31:00-12:00,30.64077,-44.78601,4.188,3150.0,41717.0,-130.0,48.4,0 days 00:06:00
2001-03-18 10:32:00-12:00,30.64014,-44.78229,4.125,3103.0,41710.0,-136.0,47.5,0 days 00:01:00
2001-03-18 10:33:00-12:00,30.63945,-44.7786,4.05,3046.0,41708.0,-137.0,46.9,0 days 00:01:00
2001-03-18 10:34:00-12:00,30.63883,-44.77487,4.265,3209.0,41700.0,-144.0,46.0,0 days 00:01:00
2001-03-18 10:35:00-12:00,30.63821,-44.7711,4.337,3264.0,41697.0,-146.0,45.2,0 days 00:01:00
2001-03-18 10:36:00-12:00,30.63756,-44.7674,4.34,3266.0,41694.0,-148.0,44.5,0 days 00:01:00
2001-03-18 10:37:00-12:00,30.63694,-44.7637,4.308,3241.0,41697.0,-144.0,43.7,0 days 00:01:00
2001-03-18 10:38:00-12:00,30.63633,-44.76002,4.339,3265.0,41697.0,-143.0,43.1,0 days 00:01:00
2001-03-18 10:39:00-12:00,30.63565,-44.75635,4.404,3314.0,41699.0,-140.0,42.2,0 days 00:01:00
2001-03-18 10:40:00-12:00,30.63504,-44.75264,4.494,3382.0,41704.0,-134.0,41.3,0 days 00:01:00
2001-03-18 10:41:00-12:00,30.63445,-44.74895,4.466,3362.0,41712.0,-125.0,40.7,0 days 00:01:00
2001-03-18 10:42:00-12:00,30.6338,-44.74521,4.454,3351.0,41713.0,-124.0,40.1,0 days 00:01:00
2001-03-18 10:43:00-12:00,30.63318,-44.74151,4.518,3400.0,41719.0,-117.0,39.6,0 days 00:01:00
2001-03-18 10:44:00-12:00,30.63258,-44.73781,4.606,3467.0,41725.0,-109.0,38.9,0 days 00:01:00
2001-03-18 10:45:00-12:00,30.6319,-44.7341,4.608,3469.0,41730.0,-103.0,38.5,0 days 00:01:00
2001-03-18 10:46:00-12:00,30.63127,-44.73039,4.709,3546.0,41737.0,-95.0,38.1,0 days 00:01:00
2001-03-18 10:47:00-12:00,30.63059,-44.72671,4.848,3651.0,41740.0,-92.0,37.4,0 days 00:01:00
2001-03-18 10:48:00-12:00,30.62996,-44.72304,4.844,3648.0,41746.0,-85.0,36.7,0 days 00:01:00
2001-03-18 10:49:00-12:00,30.62934,-44.71933,4.709,3546.0,41747.0,-83.0,36.2,0 days 00:01:00
2001-03-18 10:50:00-12:00,30.65693,-44.88213,4.242,3192.0,41853.0,-18.0,56.8,0 days 00:01:00
2001-03-18 10:51:00-12:00,30.62805,-44.71192,4.705,3543.0,41751.0,-77.0,35.6,0 days 00:01:00
