,LAT,LON,CORR_DEPTH,MAG_TOT,MAG_TOT2,MAG_RES,GRA_OBS,EOTVOS,FREEAIR,LINEID,DT
2017-09-21 01:28:00+00:00,-27.31569,72.88822,3060.3,47302.1,47303.4,73.1,979149.1,-34.4,28.9,7-119,0 days 00:01:00
2017-09-21 01:29:00+00:00,-27.31393,72.88661,3058.8,47288.3,47295.8,69.3,979149.3,-34.0,29.4,7-119,0 days 00:01:00
2017-09-21 01:30:00+00:00,-27.31217,72.88502,3076.9,47288.1,47287.8,62.8,979149.4,-33.6,29.6,7-119,0 days 00:01:00
2017-09-21 01:31:00+00:00,-27.31042,72.88343,3093.3,47283.0,47284.1,58.8,979149.8,-33.5,29.9,7-119,0 days 00:01:00
2017-09-21 01:32:00+00:00,-27.30868,72.88183,3148.8,47279.0,47281.8,54.3,979149.6,-33.6,30.0,7-119,0 days 00:01:00
2017-09-21 01:33:00+00:00,-27.30696,72.88023,3109.6,47275.4,47247.5,52.0,979150.3,-34.0,30.4,7-119,0 days 00:01:00
2017-09-21 01:34:00+00:00,-27.30526,72.87862,3081.4,47271.3,47269.9,48.5,979149.9,-33.9,30.4,7-119,0 days 00:01:00
2017-09-21 01:35:00+00:00,-27.30357,72.87702,3048.0,47262.0,47263.6,42.3,979150.0,-33.9,30.7,7-119,0 days 00:01:00
2017-09-21 01:36:00+00:00,-27.30189,72.87543,3004.8,47258.6,47262.7,39.0,979149.3,-33.7,30.8,7-119,0 days 00:01:00
2017-09-21 01:37:00+00:00,-27.30021,72.87384,2978.4,47257.3,47259.1,36.1,979149.7,-33.6,30.8,7-119,0 days 00:01:00
2017-09-21 01:38:00+00:00,-27.29852,72.87226,2966.9,47248.9,47253.7,33.2,979150.5,-33.2,30.9,7-119,0 days 00:01:00
2017-09-21 01:39:00+00:00,-27.29682,72.87069,2946.7,47252.2,47242.8,30.0,979149.1,-33.1,31.4,7-119,0 days 00:01:00
2017-09-21 01:40:00+00:00,-27.29512,72.86912,2924.0,47245.2,47241.6,28.5,979150.2,-33.6,31.8,7-119,0 days 00:01:00
2017-09-21 01:41:00+00:00,-27.29344,72.86754,2851.6,47240.2,47241.3,27.0,979149.9,-33.7,31.8,7-119,0 days 00:01:00
2017-09-21 01:42:00+00:00,-27.29175,72.86596,2842.4,47238.4,47243.4,26.0,979150.2,-33.6,31.9,7-119,0 days 00:01:00
2017-09-21 01:43:00+00:00,-27.29006,72.86438,2801.6,47241.2,47240.7,26.0,979150.8,-33.2,32.0,7-119,0 days 00:01:00
2017-09-21 01:44:00+00:00,-27.28837,72.86279,2770.7,47239.6,47231.3,27.6,979150.0,-33.7,32.1,7-119,0 days 00:01:00
2017-09-21 01:45:00+00:00,-27.28669,72.86119,2782.4,47238.1,47237.6,30.0,979149.9,-34.0,32.3,7-119,0 days 00:01:00
2017-09-21 01:46:00+00:00,-27.28501,72.85958,2818.8,47240.9,47240.5,32.5,979149.9,-34.3,32.5,7-119,0 days 00:01:00
2017-09-21 01:47:00+00:00,-27.28333,72.85798,2702.3,47248.1,47242.2,39.8,979150.7,-33.9,32.7,7-119,0 days 00:01:00
2017-09-21 01:48:00+00:00,-27.28165,72.85639,2721.4,47251.2,47245.1,45.3,979151.3,-33.9,33.0,7-119,0 days 00:01:00
2017-09-21 01:49:00+00:00,-27.27997,72.8548,2988.5,47258.0,47253.6,51.0,979150.1,-33.7,33.1,7-119,0 days 00:01:00
2017-09-21 01:50:00+00:00,-27.27828,72.85319,2746.1,47262.0,47155.4,57.9,979151.4,-34.4,33.4,7-119,0 days 00:01:00
2017-09-21 01:51:00+00:00,-27.27658,72.85157,2762.5,47268.4,47263.8,64.7,979150.3,-34.2,33.4,7-119,0 days 00:01:00
2017-09-21 01:52:00+00:00,-27.27487,72.84996,2742.8,47277.2,47270.6,71.7,979150.0,-34.7,33.6,7-119,0 days 00:01:00
2017-09-21 01:53:00+00:00,-27.27316,72.84834,2736.2,47277.4,47274.8,77.7,979150.8,-34.4,33.7,7-119,0 days 00:01:00
2017-09-21 01:54:00+00:00,-27.27147,72.84671,2733.4,47293.3,47280.2,83.6,979150.9,-34.4,33.8,7-119,0 days 00:01:00
2017-09-21 01:55:00+00:00,-27.26979,72.84509,2722.1,47288.0,47290.4,88.9,979151.1,-34.0,33.9,7-119,0 days 00:01:00
2017-09-21 01:56:00+00:00,-27.26809,72.84348,2742.1,47293.5,47289.7,93.0,979150.4,-33.8,34.1,7-119,0 days 00:01:00
2017-09-21 01:57:00+00:00,-27.26639,72.84187,2745.9,47294.9,47293.5,96.4,979151.0,-34.0,34.3,7-119,0 days 00:01:00
2017-09-21 01:58:00+00:00,-27.26471,72.84026,2757.1,47296.3,47294.7,97.8,979151.1,-34.1,34.4,7-119,0 days 00:01:00
2017-09-21 01:59:00+00:00,-27.26304,72.83864,2754.7,47293.1,47297.0,97.9,979150.4,-34.3,34.6,7-119,0 days 00:01:00
2017-09-21 02:00:00+00:00,-27.26135,72.83703,2766.0,47290.6,47289.2,97.3,979151.7,-34.4,34.9,7-119,0 days 00:01:00
2017-09-21 02:01:00+00:00,-27.25965,72.83542,2742.9,47283.6,47299.4,95.5,979150.6,-34.1,35.4,7-119,0 days 00:01:00
2017-09-21 02:02:00+00:00,-27.25795,72.83383,2733.5,47252.1,47284.9,92.1,979151.6,-33.7,35.6,7-119,0 days 00:01:00
2017-09-21 02:03:00+00:00,-27.25625,72.83224,2757.4,47278.3,47281.9,87.7,979151.3,-33.7,35.5,7-119,0 days 00:01:00
2017-09-21 02:04:00+00:00,-27.25456,72.83065,2729.1,47270.6,47275.6,81.4,979151.1,-33.5,35.6,7-119,0 days 00:01:00
2017-09-21 02:05:00+00:00,-27.25289,72.82907,2723.7,47262.5,47266.8,73.4,979150.9,-33.6,35.6,7-119,0 days 00:01:00
2017-09-21 02:06:00+00:00,-27.25122,72.82749,2712.7,47254.5,47304.5,66.1,979151.8,-33.1,35.6,7-119,0 days 00:01:00
2017-09-21 02:07:00+00:00,-27.24955,72.82594,2683.9,47241.0,47250.3,55.2,979149.8,-33.1,35.8,7-119,0 days 00:01:00
2017-09-21 02:08:00+00:00,-27.24899,72.82542,2696.0,47235.8,47249.5,52.9,979149.7,-33.2,35.9,7-119,0 days 00:01:00
2017-09-21 02:09:00+00:00,-27.2462,72.82281,2737.8,47227.8,47229.1,42.4,979151.1,-33.1,36.1,7-119,0 days 00:01:00
2017-09-21 02:10:00+00:00,-27.24451,72.82124,2747.0,47221.9,47224.5,33.3,979150.9,-33.2,36.2,7-119,0 days 00:01:00
2017-09-21 02:11:00+00:00,-27.2428,72.81966,2756.4,47209.7,47217.7,27.4,979150.6,-33.5,36.2,7-119,0 days 00:01:00
2017-09-21 02:12:00+00:00,-27.24111,72.81806,2768.7,47203.4,47208.5,20.9,979150.4,-34.2,36.2,7-119,0 days 00:01:00
2017-09-21 02:13:00+00:00,-27.23942,72.81645,2739.4,47197.8,47222.6,13.5,979150.7,-34.4,36.3,7-119,0 days 00:01:00
