,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2002-01-18 15:11:00+05:00,-49.47393,116.77965,3.842,2850.0,64932.0,161.0,55.7,0 days 00:01:00
2002-01-18 15:12:00+05:00,-49.47165,116.78078,3.972,2947.0,64919.0,148.0,57.5,0 days 00:01:00
2002-01-18 15:13:00+05:00,-49.46943,116.78196,3.912,2902.0,64895.0,125.0,57.8,0 days 00:01:00
2002-01-18 15:14:00+05:00,-49.46719,116.78312,4.053,3008.0,64880.0,110.0,56.1,0 days 00:01:00
2002-01-18 15:15:00+05:00,-49.46495,116.78418,4.135,3069.0,64851.0,81.0,52.4,0 days 00:01:00
2002-01-18 15:16:00+05:00,-49.46273,116.78528,4.117,3056.0,64830.0,60.0,50.8,0 days 00:01:00
2002-01-18 15:17:00+05:00,-49.46048,116.78647,4.119,3057.0,64810.0,41.0,52.8,0 days 00:01:00
2002-01-18 15:18:00+05:00,-49.45828,116.7876,4.106,3048.0,64805.0,36.0,45.5,0 days 00:01:00
2002-01-18 15:19:00+05:00,-49.45603,116.78861,4.136,3070.0,64781.0,12.0,52.5,0 days 00:01:00
2002-01-18 15:20:00+05:00,-49.45379,116.78972,4.256,3161.0,64755.0,-13.0,50.6,0 days 00:01:00
2002-01-18 15:21:00+05:00,-49.45158,116.79091,4.518,3358.0,64746.0,-23.0,56.7,0 days 00:01:00
2002-01-18 15:22:00+05:00,-49.44935,116.79193,4.551,3383.0,64741.0,-27.0,52.0,0 days 00:01:00
2002-01-18 15:23:00+05:00,-49.44716,116.79312,4.585,3409.0,64723.0,-45.0,48.3,0 days 00:01:00
2002-01-18 15:24:00+05:00,-49.44496,116.7942,4.633,3446.0,64711.0,-57.0,54.6,0 days 00:01:00
2002-01-18 15:25:00+05:00,-49.44269,116.79524,4.737,3525.0,64695.0,-73.0,47.2,0 days 00:01:00
2002-01-18 15:26:00+05:00,-49.44039,116.79643,4.697,3494.0,64689.0,-78.0,51.1,0 days 00:01:00
2002-01-18 15:27:00+05:00,-49.43807,116.79758,4.717,3509.0,64687.0,-80.0,45.7,0 days 00:01:00
2002-01-18 15:28:00+05:00,-49.43587,116.79867,4.661,3467.0,64687.0,-79.0,45.7,0 days 00:01:00
2002-01-18 15:29:00+05:00,-49.43363,116.79982,4.641,3452.0,64684.0,-82.0,44.5,0 days 00:01:00
2002-01-18 15:30:00+05:00,-49.43135,116.80102,4.599,3419.0,64710.0,-56.0,41.6,0 days 00:01:00
2002-01-18 15:31:00+05:00,-49.42908,116.80213,4.557,3388.0,64693.0,-73.0,44.3,0 days 00:01:00
2002-01-18 15:32:00+05:00,-49.42684,116.80316,4.436,3296.0,64698.0,-68.0,41.7,0 days 00:01:00
2002-01-18 15:33:00+05:00,-49.42454,116.80439,4.603,3423.0,64729.0,-36.0,47.4,0 days 00:01:00
2002-01-18 15:34:00+05:00,-49.42229,116.80548,4.336,3221.0,64727.0,-38.0,49.0,0 days 00:01:00
2002-01-18 15:35:00+05:00,-49.42008,116.80668,4.317,3207.0,64734.0,-31.0,44.8,0 days 00:01:00
2002-01-18 15:36:00+05:00,-49.41783,116.80771,4.044,3001.0,64748.0,-17.0,47.6,0 days 00:01:00
2002-01-18 15:37:00+05:00,-49.41553,116.80889,3.907,2898.0,64766.0,2.0,45.6,0 days 00:01:00
2002-01-18 15:38:00+05:00,-49.41326,116.80998,3.852,2857.0,64824.0,60.0,45.0,0 days 00:01:00
2002-01-18 15:39:00+05:00,-49.41097,116.81109,3.709,2750.0,64834.0,70.0,44.9,0 days 00:01:00
2002-01-18 15:40:00+05:00,-49.40873,116.81226,3.636,2695.0,64835.0,71.0,44.0,0 days 00:01:00
2002-01-18 15:41:00+05:00,-49.40651,116.81349,3.614,2678.0,64834.0,71.0,40.5,0 days 00:01:00
