,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2001-10-15 10:12:00-12:00,-22.00225,84.98042,5.853,4403.0,49548.0,-92.0,30.4,0 days 00:01:00
2001-10-15 10:13:00-12:00,-22.00355,84.98311,5.847,4398.0,49537.0,-104.0,27.1,0 days 00:01:00
2001-10-15 10:14:00-12:00,-22.00484,84.98571,5.864,4411.0,49519.0,-123.0,29.0,0 days 00:01:00
2001-10-15 10:15:00-12:00,-22.00611,84.98833,5.853,4403.0,49509.0,-135.0,29.0,0 days 00:01:00
2001-10-15 10:16:00-12:00,-22.00738,84.99099,5.85,4401.0,49498.0,-148.0,30.8,0 days 00:01:00
2001-10-15 10:17:00-12:00,-22.00864,84.99365,5.851,4401.0,49494.0,-153.0,27.4,0 days 00:01:00
2001-10-15 10:19:00-12:00,-22.01116,84.99881,5.855,4404.0,49477.0,-172.0,32.5,0 days 00:02:00
2001-10-15 10:21:00-12:00,-22.01355,85.00411,5.854,4403.0,49456.0,-183.0,29.8,0 days 00:02:00
2001-10-15 10:22:00-12:00,-22.01477,85.00676,5.86,4408.0,49454.0,-186.0,32.5,0 days 00:01:00
2001-10-15 10:26:00-12:00,-22.01952,85.01731,5.868,4414.0,49432.0,-213.0,32.1,0 days 00:04:00
2001-10-15 10:30:00-12:00,-21.99097,84.95718,5.862,4409.0,49680.0,52.0,30.5,0 days 00:04:00
2001-10-15 10:40:00-12:00,-22.03623,85.05496,5.737,4314.0,49334.0,-330.0,31.2,0 days 00:10:00
2001-10-15 10:41:00-12:00,-22.03742,85.05763,5.705,4290.0,49332.0,-333.0,33.0,0 days 00:01:00
2001-10-15 10:44:00-12:00,-22.04106,85.06571,5.689,4277.0,49326.0,-342.0,30.9,0 days 00:03:00
2001-10-15 10:47:00-12:00,-22.04463,85.07377,5.683,4272.0,49323.0,-349.0,34.1,0 days 00:03:00
2001-10-15 10:48:00-12:00,-22.04583,85.07642,5.682,4272.0,49329.0,-344.0,35.7,0 days 00:01:00
2001-10-15 10:51:00-12:00,-22.04935,85.08423,5.714,4297.0,49337.0,-340.0,34.5,0 days 00:03:00
2001-10-15 10:52:00-12:00,-22.05057,85.08694,5.721,4302.0,49339.0,-339.0,32.0,0 days 00:01:00
2001-10-15 10:53:00-12:00,-22.05172,85.08961,5.707,4291.0,49344.0,-336.0,34.5,0 days 00:01:00
2001-10-15 10:54:00-12:00,-22.05292,85.09223,5.683,4272.0,49349.0,-332.0,33.1,0 days 00:01:00
2001-10-15 10:56:00-12:00,-22.05527,85.09751,5.699,4284.0,49362.0,-322.0,35.1,0 days 00:02:00
2001-10-15 10:57:00-12:00,-22.05645,85.1002,5.699,4284.0,49366.0,-319.0,32.8,0 days 00:01:00
2001-10-15 10:58:00-12:00,-22.05762,85.10289,5.679,4269.0,49374.0,-312.0,34.4,0 days 00:01:00
2001-10-15 10:59:00-12:00,-22.05887,85.10565,5.709,4293.0,49379.0,-308.0,31.1,0 days 00:01:00
2001-10-15 11:00:00-12:00,-22.06007,85.10844,5.712,4295.0,49387.0,-302.0,35.1,0 days 00:01:00
2001-10-15 11:10:00-12:00,-22.06127,85.11119,5.679,4269.0,49396.0,-294.0,33.1,0 days 00:10:00
2001-10-15 11:12:00-12:00,-22.07443,85.1406,5.838,4391.0,49487.0,-217.0,31.5,0 days 00:02:00
2001-10-15 11:13:00-12:00,-22.0756,85.14322,5.839,4392.0,49491.0,-215.0,32.5,0 days 00:01:00
2001-10-15 11:14:00-12:00,-22.0768,85.14583,5.839,4392.0,49497.0,-210.0,31.0,0 days 00:01:00
2001-10-15 11:16:00-12:00,-22.07912,85.15107,5.839,4392.0,49510.0,-199.0,29.3,0 days 00:02:00
2001-10-15 11:17:00-12:00,-22.08027,85.15361,5.835,4389.0,49516.0,-195.0,30.9,0 days 00:01:00
2001-10-15 11:18:00-12:00,-22.08143,85.1562,5.836,4390.0,49519.0,-193.0,29.7,0 days 00:01:00
2001-10-15 11:19:00-12:00,-22.08256,85.1588,5.844,4396.0,49524.0,-189.0,24.4,0 days 00:01:00
2001-10-15 11:20:00-12:00,-22.08373,85.16139,5.843,4395.0,49528.0,-187.0,26.1,0 days 00:01:00
2001-10-15 11:26:00-12:00,-22.0907,85.17726,5.838,4391.0,49538.0,-184.0,27.7,0 days 00:06:00
2001-10-15 11:27:00-12:00,-22.09185,85.17975,5.834,4389.0,49539.0,-184.0,35.5,0 days 00:01:00
2001-10-15 11:29:00-12:00,-22.09421,85.18492,5.835,4389.0,49540.0,-185.0,26.5,0 days 00:02:00
2001-10-15 11:30:00-12:00,-22.09541,85.1876,5.837,4391.0,49542.0,-186.0,24.6,0 days 00:01:00
2001-10-15 11:32:00-12:00,-22.09766,85.19267,5.834,4389.0,49542.0,-188.0,28.4,0 days 00:02:00
2001-10-15 11:33:00-12:00,-22.09882,85.19532,5.838,4391.0,49540.0,-191.0,23.5,0 days 00:01:00
2001-10-15 11:34:00-12:00,-22.09994,85.19789,5.832,4386.0,49538.0,-194.0,28.9,0 days 00:01:00
2001-10-15 11:36:00-12:00,-22.1022,85.20302,5.826,4382.0,49537.0,-197.0,30.5,0 days 00:02:00
2001-10-15 11:37:00-12:00,-22.1033,85.20548,5.842,4395.0,49536.0,-200.0,28.7,0 days 00:01:00
2001-10-15 11:38:00-12:00,-22.10446,85.20806,5.832,4386.0,49535.0,-202.0,30.8,0 days 00:01:00
2001-10-15 11:39:00-12:00,-22.10562,85.21065,5.821,4378.0,49536.0,-202.0,28.9,0 days 00:01:00
2001-10-15 11:45:00-12:00,-22.11284,85.22673,5.792,4356.0,49524.0,-222.0,30.2,0 days 00:06:00
2001-10-15 11:46:00-12:00,-22.11399,85.22935,5.76,4331.0,49522.0,-226.0,26.6,0 days 00:01:00
2001-10-15 11:47:00-12:00,-22.11515,85.23199,5.757,4329.0,49520.0,-228.0,31.0,0 days 00:01:00
2001-10-15 11:50:00-12:00,-22.0661,85.12205,5.739,4315.0,49430.0,-266.0,33.7,0 days 00:03:00
2001-10-15 11:51:00-12:00,-22.11964,85.24209,5.676,4267.0,49512.0,-242.0,33.9,0 days 00:01:00
2001-10-15 11:52:00-12:00,-22.12075,85.24458,5.672,4264.0,49512.0,-242.0,32.5,0 days 00:01:00
2001-10-15 11:56:00-12:00,-22.12542,85.255,5.659,4254.0,49512.0,-247.0,29.3,0 days 00:04:00
2001-10-15 11:57:00-12:00,-22.12665,85.25774,5.65,4248.0,49516.0,-245.0,30.6,0 days 00:01:00
2001-10-15 11:58:00-12:00,-22.12789,85.26048,5.64,4240.0,49520.0,-243.0,31.2,0 days 00:01:00
2001-10-15 11:59:00-12:00,-22.12908,85.26313,5.623,4226.0,49522.0,-242.0,31.5,0 days 00:01:00
2001-10-15 12:00:00-12:00,-22.13026,85.2658,5.614,4219.0,49528.0,-237.0,28.3,0 days 00:01:00
2001-10-15 12:10:00-12:00,-22.1417,85.29153,5.629,4231.0,49599.0,-179.0,29.9,0 days 00:10:00
2001-10-15 12:11:00-12:00,-22.14281,85.29407,5.63,4231.0,49608.0,-171.0,32.3,0 days 00:01:00
2001-10-15 12:12:00-12:00,-22.14393,85.29652,5.656,4252.0,49616.0,-164.0,31.3,0 days 00:01:00
2001-10-15 12:13:00-12:00,-22.145,85.299,5.705,4290.0,49624.0,-157.0,30.0,0 days 00:01:00
2001-10-15 12:14:00-12:00,-22.14607,85.30147,5.674,4266.0,49633.0,-149.0,30.7,0 days 00:01:00
2001-10-15 12:15:00-12:00,-22.14717,85.30396,5.683,4272.0,49634.0,-149.0,30.3,0 days 00:01:00
2001-10-15 12:17:00-12:00,-22.1494,85.30894,5.747,4321.0,49656.0,-130.0,28.6,0 days 00:02:00
2001-10-15 12:18:00-12:00,-22.1506,85.31159,5.778,4346.0,49661.0,-126.0,28.5,0 days 00:01:00
2001-10-15 12:19:00-12:00,-22.15177,85.31427,5.781,4348.0,49670.0,-119.0,29.5,0 days 00:01:00
