,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2001-12-22 06:11:00+05:00,-47.80756,101.96316,3.787,2814.0,61632.0,198.0,39.8,0 days 00:01:00
2001-12-22 06:12:00+05:00,-47.80821,101.965,3.825,2844.0,61636.0,201.0,37.8,0 days 00:01:00
2001-12-22 06:13:00+05:00,-47.80884,101.96687,3.796,2821.0,61632.0,197.0,36.9,0 days 00:01:00
2001-12-22 06:14:00+05:00,-47.80947,101.96869,3.805,2829.0,61635.0,199.0,40.1,0 days 00:01:00
2001-12-22 06:15:00+05:00,-47.81009,101.97051,3.797,2822.0,61633.0,197.0,39.3,0 days 00:01:00
2001-12-22 06:16:00+05:00,-47.81076,101.97235,3.785,2813.0,61635.0,198.0,42.0,0 days 00:01:00
2001-12-22 06:17:00+05:00,-47.8114,101.9741,3.792,2818.0,61634.0,196.0,36.6,0 days 00:01:00
2001-12-22 06:18:00+05:00,-47.81202,101.97582,3.799,2823.0,61636.0,197.0,39.8,0 days 00:01:00
2001-12-22 06:19:00+05:00,-47.81266,101.97755,3.791,2817.0,61632.0,192.0,38.7,0 days 00:01:00
2001-12-22 06:20:00+05:00,-47.81327,101.9793,3.795,2820.0,61635.0,195.0,37.1,0 days 00:01:00
2001-12-22 06:22:00+05:00,-47.81452,101.98272,3.803,2827.0,61634.0,193.0,37.8,0 days 00:02:00
2001-12-22 06:23:00+05:00,-47.81513,101.98445,3.821,2841.0,61633.0,192.0,38.5,0 days 00:01:00
2001-12-22 06:24:00+05:00,-47.81577,101.98612,3.807,2830.0,61630.0,188.0,40.3,0 days 00:01:00
2001-12-22 06:25:00+05:00,-47.81647,101.98778,3.817,2838.0,61631.0,188.0,38.1,0 days 00:01:00
2001-12-22 06:26:00+05:00,-47.81713,101.98953,3.821,2841.0,61629.0,186.0,38.1,0 days 00:01:00
2001-12-22 06:27:00+05:00,-47.81783,101.9912,3.815,2836.0,61629.0,185.0,38.7,0 days 00:01:00
2001-12-22 06:28:00+05:00,-47.81855,101.99286,3.824,2843.0,61626.0,181.0,38.1,0 days 00:01:00
2001-12-22 06:29:00+05:00,-47.8192,101.99456,3.823,2842.0,61624.0,179.0,37.7,0 days 00:01:00
2001-12-22 06:30:00+05:00,-47.81981,101.99623,3.824,2843.0,61629.0,183.0,37.0,0 days 00:01:00
2001-12-22 06:31:00+05:00,-47.8205,101.99791,3.831,2848.0,61626.0,179.0,39.5,0 days 00:01:00
2001-12-22 06:32:00+05:00,-47.8212,101.99957,3.825,2844.0,61625.0,178.0,38.0,0 days 00:01:00
2001-12-22 06:33:00+05:00,-47.82183,102.00129,3.832,2849.0,61628.0,191.0,36.7,0 days 00:01:00
2001-12-22 06:34:00+05:00,-47.82252,102.00294,3.828,2846.0,61625.0,188.0,38.6,0 days 00:01:00
2001-12-22 06:35:00+05:00,-47.82319,102.00464,3.828,2846.0,61624.0,186.0,37.2,0 days 00:01:00
2001-12-22 06:36:00+05:00,-47.82387,102.00631,3.83,2847.0,61625.0,186.0,37.6,0 days 00:01:00
2001-12-22 06:39:00+05:00,-47.82573,102.01147,3.827,2845.0,61624.0,184.0,38.0,0 days 00:03:00
2001-12-22 06:40:00+05:00,-47.80322,101.95025,3.832,2849.0,61633.0,203.0,40.3,0 days 00:01:00
2001-12-22 06:41:00+05:00,-47.82701,102.01478,3.829,2847.0,61624.0,182.0,38.7,0 days 00:01:00
2001-12-22 06:42:00+05:00,-47.82766,102.01646,3.832,2849.0,61624.0,181.0,37.0,0 days 00:01:00
2001-12-22 06:43:00+05:00,-47.82828,102.01819,3.833,2850.0,61623.0,180.0,37.9,0 days 00:01:00
2001-12-22 06:44:00+05:00,-47.82893,102.01988,3.816,2837.0,61624.0,181.0,37.4,0 days 00:01:00
2001-12-22 06:45:00+05:00,-47.8296,102.02157,3.832,2849.0,61624.0,180.0,41.3,0 days 00:01:00
2001-12-22 06:47:00+05:00,-47.83091,102.02501,3.851,2863.0,61618.0,173.0,38.8,0 days 00:02:00
2001-12-22 06:48:00+05:00,-47.8316,102.02673,3.829,2847.0,61617.0,171.0,40.6,0 days 00:01:00
2001-12-22 06:49:00+05:00,-47.83227,102.02846,3.829,2847.0,61617.0,171.0,38.2,0 days 00:01:00
2001-12-22 06:50:00+05:00,-47.80386,101.95209,3.83,2847.0,61632.0,202.0,41.7,0 days 00:01:00
2001-12-22 06:51:00+05:00,-47.8335,102.03173,3.851,2863.0,61615.0,168.0,35.3,0 days 00:01:00
2001-12-22 06:52:00+05:00,-47.83416,102.03336,3.839,2854.0,61613.0,165.0,41.2,0 days 00:01:00
2001-12-22 06:53:00+05:00,-47.83485,102.03501,3.836,2852.0,61612.0,163.0,38.3,0 days 00:01:00
2001-12-22 06:54:00+05:00,-47.83549,102.0367,3.836,2852.0,61611.0,162.0,36.8,0 days 00:01:00
2001-12-22 06:57:00+05:00,-47.83749,102.04165,3.841,2856.0,61602.0,152.0,37.3,0 days 00:03:00
2001-12-22 06:58:00+05:00,-47.83814,102.04333,3.836,2852.0,61597.0,146.0,36.3,0 days 00:01:00
2001-12-22 06:59:00+05:00,-47.83878,102.04495,3.852,2864.0,61595.0,143.0,34.5,0 days 00:01:00
2001-12-22 07:00:00+05:00,-47.83946,102.04657,3.842,2857.0,61592.0,140.0,38.4,0 days 00:01:00
2001-12-22 07:10:00+05:00,-47.84014,102.04822,3.839,2854.0,61591.0,138.0,38.8,0 days 00:10:00
2001-12-22 07:11:00+05:00,-47.84686,102.06447,3.836,2852.0,61574.0,116.0,35.8,0 days 00:01:00
2001-12-22 07:12:00+05:00,-47.84756,102.06608,3.844,2858.0,61573.0,113.0,38.2,0 days 00:01:00
2001-12-22 07:13:00+05:00,-47.84822,102.06774,3.831,2848.0,61574.0,113.0,36.4,0 days 00:01:00
2001-12-22 07:14:00+05:00,-47.8489,102.06934,3.829,2847.0,61572.0,111.0,36.2,0 days 00:01:00
2001-12-22 07:15:00+05:00,-47.84958,102.07089,3.838,2853.0,61572.0,111.0,38.2,0 days 00:01:00
2001-12-22 07:16:00+05:00,-47.8503,102.07247,3.843,2857.0,61574.0,112.0,36.5,0 days 00:01:00
2001-12-22 07:17:00+05:00,-47.85092,102.07411,3.842,2857.0,61573.0,110.0,34.3,0 days 00:01:00
2001-12-22 07:20:00+05:00,-47.84084,102.04984,3.832,2849.0,61589.0,136.0,36.5,0 days 00:03:00
2001-12-22 07:24:00+05:00,-47.85576,102.08545,3.868,2876.0,61587.0,121.0,38.9,0 days 00:04:00
2001-12-22 07:25:00+05:00,-47.85644,102.08714,3.882,2887.0,61587.0,120.0,37.3,0 days 00:01:00
2001-12-22 07:26:00+05:00,-47.85713,102.08875,3.916,2912.0,61588.0,121.0,34.4,0 days 00:01:00
2001-12-22 07:27:00+05:00,-47.85784,102.09038,3.904,2903.0,61589.0,121.0,35.1,0 days 00:01:00
2001-12-22 07:28:00+05:00,-47.85853,102.09206,3.913,2910.0,61591.0,122.0,37.3,0 days 00:01:00
2001-12-22 07:29:00+05:00,-47.85926,102.09365,3.919,2914.0,61593.0,123.0,34.4,0 days 00:01:00
2001-12-22 07:30:00+05:00,-47.8415,102.0515,3.822,2841.0,61587.0,133.0,37.0,0 days 00:01:00
2001-12-22 07:31:00+05:00,-47.86058,102.09703,3.903,2902.0,61600.0,129.0,33.8,0 days 00:01:00
2001-12-22 07:32:00+05:00,-47.86126,102.09875,3.911,2908.0,61600.0,129.0,35.6,0 days 00:01:00
2001-12-22 07:33:00+05:00,-47.86193,102.10042,3.908,2906.0,61605.0,134.0,34.6,0 days 00:01:00
2001-12-22 07:34:00+05:00,-47.86263,102.10204,3.914,2911.0,61607.0,135.0,35.5,0 days 00:01:00
2001-12-22 07:35:00+05:00,-47.86332,102.10365,3.916,2912.0,61610.0,138.0,35.4,0 days 00:01:00
2001-12-22 07:36:00+05:00,-47.864,102.10527,3.93,2923.0,61613.0,140.0,35.9,0 days 00:01:00
2001-12-22 07:37:00+05:00,-47.86468,102.1069,3.934,2925.0,61616.0,142.0,35.0,0 days 00:01:00
2001-12-22 07:39:00+05:00,-47.866,102.11017,3.928,2921.0,61622.0,147.0,33.4,0 days 00:02:00
2001-12-22 07:40:00+05:00,-47.8667,102.11179,3.919,2914.0,61623.0,147.0,33.8,0 days 00:01:00
2001-12-22 07:41:00+05:00,-47.86735,102.11346,3.916,2912.0,61627.0,151.0,33.3,0 days 00:01:00
2001-12-22 07:42:00+05:00,-47.86809,102.11508,3.912,2909.0,61627.0,150.0,32.3,0 days 00:01:00
2001-12-22 07:43:00+05:00,-47.86876,102.11674,3.953,2940.0,61633.0,156.0,32.1,0 days 00:01:00
2001-12-22 07:44:00+05:00,-47.8694,102.11841,3.982,2961.0,61635.0,156.0,34.1,0 days 00:01:00
2001-12-22 07:45:00+05:00,-47.87009,102.12003,3.95,2937.0,61637.0,159.0,34.4,0 days 00:01:00
2001-12-22 07:46:00+05:00,-47.8708,102.12168,3.95,2937.0,61635.0,155.0,36.6,0 days 00:01:00
2001-12-22 07:47:00+05:00,-47.87151,102.12336,3.953,2940.0,61641.0,161.0,32.7,0 days 00:01:00
2001-12-22 07:48:00+05:00,-47.87222,102.12506,3.963,2947.0,61646.0,165.0,32.1,0 days 00:01:00
2001-12-22 07:49:00+05:00,-47.87297,102.12676,3.952,2939.0,61643.0,162.0,35.0,0 days 00:01:00
2001-12-22 07:50:00+05:00,-47.84283,102.05482,3.828,2846.0,61581.0,126.0,38.1,0 days 00:01:00
2001-12-22 07:51:00+05:00,-47.87429,102.13018,3.972,2954.0,61643.0,161.0,34.7,0 days 00:01:00
2001-12-22 07:52:00+05:00,-47.87499,102.1318,3.951,2938.0,61649.0,166.0,32.9,0 days 00:01:00
2001-12-22 07:53:00+05:00,-47.87567,102.13346,3.956,2942.0,61648.0,164.0,34.9,0 days 00:01:00
2001-12-22 07:54:00+05:00,-47.87638,102.13511,3.956,2942.0,61652.0,168.0,29.6,0 days 00:01:00
2001-12-22 07:55:00+05:00,-47.87712,102.1368,3.959,2944.0,61654.0,169.0,33.0,0 days 00:01:00
2001-12-22 07:56:00+05:00,-47.87779,102.13855,3.921,2916.0,61651.0,166.0,33.6,0 days 00:01:00
2001-12-22 07:57:00+05:00,-47.8785,102.14018,3.921,2916.0,61655.0,169.0,31.3,0 days 00:01:00
2001-12-22 07:58:00+05:00,-47.87924,102.1418,3.929,2922.0,61655.0,169.0,32.9,0 days 00:01:00
2001-12-22 07:59:00+05:00,-47.87997,102.1434,3.959,2944.0,61657.0,170.0,31.9,0 days 00:01:00
2001-12-22 08:00:00+05:00,-47.88071,102.14509,3.956,2942.0,61660.0,173.0,35.4,0 days 00:01:00
2001-12-22 08:10:00+05:00,-47.88794,102.16145,3.992,2969.0,61657.0,163.0,33.0,0 days 00:10:00
2001-12-22 08:11:00+05:00,-47.88861,102.16309,3.988,2966.0,61658.0,164.0,30.6,0 days 00:01:00
2001-12-22 08:12:00+05:00,-47.88938,102.16461,3.992,2969.0,61659.0,164.0,32.6,0 days 00:01:00
2001-12-22 08:13:00+05:00,-47.89011,102.16621,4.003,2977.0,61662.0,167.0,33.2,0 days 00:01:00
2001-12-22 08:14:00+05:00,-47.89083,102.16787,4.006,2979.0,61657.0,161.0,30.5,0 days 00:01:00
2001-12-22 08:15:00+05:00,-47.89162,102.16947,4.004,2978.0,61661.0,165.0,28.9,0 days 00:01:00
2001-12-22 08:16:00+05:00,-47.89241,102.17119,4.002,2977.0,61660.0,162.0,31.1,0 days 00:01:00
2001-12-22 08:17:00+05:00,-47.89319,102.17293,3.996,2972.0,61661.0,164.0,30.7,0 days 00:01:00
2001-12-22 08:18:00+05:00,-47.89397,102.17469,3.991,2968.0,61662.0,164.0,31.5,0 days 00:01:00
2001-12-22 08:19:00+05:00,-47.89482,102.17644,4.006,2979.0,61662.0,163.0,30.6,0 days 00:01:00
2001-12-22 08:20:00+05:00,-47.89563,102.1782,4.007,2980.0,61662.0,162.0,31.2,0 days 00:01:00
2001-12-22 08:21:00+05:00,-47.89642,102.17997,4.002,2977.0,61664.0,164.0,31.9,0 days 00:01:00
2001-12-22 08:22:00+05:00,-47.8972,102.18172,4.008,2981.0,61662.0,161.0,31.4,0 days 00:01:00
2001-12-22 08:23:00+05:00,-47.89798,102.18346,4.003,2977.0,61660.0,158.0,30.2,0 days 00:01:00
