,LAT,LON,CORR_DEPTH,MAG_TOT,MAG_TOT2,MAG_RES,GRA_OBS,EOTVOS,FREEAIR,LINEID,DT
2017-09-28 02:31:00+00:00,-26.79848,72.21615,2975.2,46879.2,46877.6,44.6,979090.1,35.1,7.6,7-121,0 days 00:01:00
2017-09-28 02:32:00+00:00,-26.80017,72.21778,2979.1,46879.4,46880.0,46.5,979089.9,34.9,7.6,7-121,0 days 00:01:00
2017-09-28 02:33:00+00:00,-26.80187,72.21941,2989.1,46882.8,46884.3,46.8,979089.9,35.3,7.7,7-121,0 days 00:01:00
2017-09-28 02:34:00+00:00,-26.80357,72.22103,2967.7,46887.4,46885.5,49.3,979090.8,35.7,7.6,7-121,0 days 00:01:00
2017-09-28 02:35:00+00:00,-26.8053,72.22268,2980.3,46900.2,46896.6,50.8,979090.8,36.7,7.6,7-121,0 days 00:01:00
2017-09-28 02:36:00+00:00,-26.80704,72.22438,2964.3,46886.1,46890.5,53.1,979090.4,36.5,7.4,7-121,0 days 00:01:00
2017-09-28 02:37:00+00:00,-26.8088,72.22606,2946.8,46892.6,46894.5,52.5,979090.3,36.3,7.2,7-121,0 days 00:01:00
2017-09-28 02:38:00+00:00,-26.81056,72.2277,2958.5,46896.3,46895.3,54.6,979090.3,35.3,7.1,7-121,0 days 00:01:00
2017-09-28 02:39:00+00:00,-26.81232,72.22933,2968.5,46899.0,46898.4,56.1,979090.4,35.2,6.9,7-121,0 days 00:01:00
2017-09-28 02:40:00+00:00,-26.81406,72.23095,3008.7,46904.5,46899.8,58.2,979090.1,35.1,6.8,7-121,0 days 00:01:00
2017-09-28 02:41:00+00:00,-26.8158,72.23257,3015.8,46906.7,46889.5,58.9,979090.0,34.6,6.6,7-121,0 days 00:01:00
2017-09-28 02:42:00+00:00,-26.81755,72.23415,3002.6,46907.0,46895.9,60.5,979089.6,34.1,6.4,7-121,0 days 00:01:00
2017-09-28 02:43:00+00:00,-26.8193,72.23571,3028.5,46912.0,46907.1,61.8,979089.8,33.5,6.4,7-121,0 days 00:01:00
2017-09-28 02:44:00+00:00,-26.82102,72.23726,3010.2,46922.4,46907.0,65.8,979090.4,34.0,6.3,7-121,0 days 00:01:00
2017-09-28 02:45:00+00:00,-26.82271,72.23882,3047.8,46904.1,46922.1,69.9,979090.6,34.0,6.4,7-121,0 days 00:01:00
2017-09-28 02:46:00+00:00,-26.82438,72.24039,3078.1,46922.7,46918.8,70.6,979090.4,34.3,6.4,7-121,0 days 00:01:00
2017-09-28 02:47:00+00:00,-26.82605,72.24197,3073.9,46925.2,46919.8,73.1,979090.6,34.6,6.3,7-121,0 days 00:01:00
2017-09-28 02:48:00+00:00,-26.82773,72.24358,3096.1,46924.4,46925.5,75.3,979090.6,35.2,6.1,7-121,0 days 00:01:00
2017-09-28 02:49:00+00:00,-26.82942,72.24521,3092.9,46930.8,46928.9,77.3,979090.3,35.2,5.9,7-121,0 days 00:01:00
2017-09-28 02:50:00+00:00,-26.83111,72.24683,3131.3,46935.3,46930.5,79.3,979090.2,34.9,5.7,7-121,0 days 00:01:00
2017-09-28 02:51:00+00:00,-26.83279,72.24843,3129.4,46939.1,46945.9,80.7,979090.4,34.6,5.5,7-121,0 days 00:01:00
2017-09-28 02:52:00+00:00,-26.83447,72.25002,3148.5,46943.6,46930.7,87.1,979090.2,34.8,5.4,7-121,0 days 00:01:00
