,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2001-12-26 15:54:00+05:00,-47.69726,101.64496,3.781,2810.0,60358.0,-963.0,35.3,0 days 00:01:00
2001-12-26 15:57:00+05:00,-47.70057,101.64188,3.735,2775.0,61499.0,178.0,34.9,0 days 00:03:00
2001-12-26 16:00:00+05:00,-47.70403,101.63853,3.651,2712.0,61482.0,162.0,35.7,0 days 00:03:00
2001-12-26 16:10:00+05:00,-47.70517,101.63735,3.659,2718.0,61458.0,138.0,35.4,0 days 00:10:00
2001-12-26 16:11:00+05:00,-47.71674,101.62596,3.8,2824.0,61443.0,124.0,34.5,0 days 00:01:00
2001-12-26 16:14:00+05:00,-47.72027,101.62257,3.753,2789.0,61427.0,109.0,34.3,0 days 00:03:00
2001-12-26 16:21:00+05:00,-47.7285,101.61442,3.951,2938.0,60331.0,-986.0,33.4,0 days 00:07:00
2001-12-26 16:26:00+05:00,-47.73429,101.60882,4.019,2989.0,61363.0,46.0,32.8,0 days 00:05:00
2001-12-26 16:31:00+05:00,-47.74002,101.60323,3.914,2911.0,60296.0,-1020.0,32.7,0 days 00:05:00
2001-12-26 16:33:00+05:00,-47.74242,101.60083,3.946,2935.0,60212.0,-1103.0,32.2,0 days 00:02:00
2001-12-26 16:34:00+05:00,-47.7435,101.59971,3.979,2959.0,60285.0,-1030.0,31.9,0 days 00:01:00
2001-12-26 16:38:00+05:00,-47.74807,101.59535,4.003,2977.0,60966.0,-348.0,32.8,0 days 00:04:00
2001-12-26 16:40:00+05:00,-47.75042,101.59298,3.987,2965.0,60321.0,-993.0,32.9,0 days 00:02:00
2001-12-26 16:43:00+05:00,-47.75405,101.58946,3.944,2933.0,60338.0,-975.0,31.9,0 days 00:03:00
2001-12-26 16:45:00+05:00,-47.75637,101.58733,3.849,2862.0,60346.0,-967.0,31.8,0 days 00:02:00
2001-12-26 16:48:00+05:00,-47.75984,101.58381,3.867,2875.0,60318.0,-995.0,31.9,0 days 00:03:00
2001-12-26 16:49:00+05:00,-47.76106,101.58262,3.855,2866.0,60285.0,-1027.0,31.9,0 days 00:01:00
2001-12-26 16:50:00+05:00,-47.7098,101.63284,3.88,2885.0,60302.0,-1018.0,34.1,0 days 00:01:00
2001-12-26 16:54:00+05:00,-47.76676,101.57688,3.929,2922.0,60345.0,-966.0,31.6,0 days 00:04:00
2001-12-26 17:00:00+05:00,-47.77388,101.56976,4.026,2995.0,60284.0,-1027.0,31.5,0 days 00:06:00
