,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2000-08-09 07:11:00-12:00,45.59134,-48.52772,0.157,117.0,50323.0,-61.0,69.2,0 days 00:01:00
2000-08-09 07:12:00-12:00,45.59212,-48.52917,0.155,115.0,50324.0,-61.0,68.7,0 days 00:01:00
2000-08-09 07:13:00-12:00,45.59294,-48.53066,0.154,115.0,50324.0,-62.0,68.5,0 days 00:01:00
2000-08-09 07:14:00-12:00,45.59371,-48.53206,0.153,114.0,50328.0,-59.0,68.4,0 days 00:01:00
2000-08-09 07:15:00-12:00,45.59451,-48.53351,0.152,113.0,50328.0,-58.0,68.3,0 days 00:01:00
2000-08-09 07:23:00-12:00,45.60097,-48.54549,0.144,108.0,50340.0,-52.0,67.0,0 days 00:08:00
2000-08-09 07:24:00-12:00,45.60179,-48.54697,0.143,107.0,50340.0,-53.0,66.9,0 days 00:01:00
2000-08-09 07:25:00-12:00,45.6026,-48.54851,0.143,107.0,50344.0,-50.0,66.7,0 days 00:01:00
2000-08-09 07:26:00-12:00,45.60343,-48.55006,0.141,106.0,50344.0,-51.0,66.6,0 days 00:01:00
2000-08-09 07:27:00-12:00,45.60426,-48.55162,0.141,106.0,50346.0,-48.0,66.7,0 days 00:01:00
2000-08-09 07:28:00-12:00,45.6051,-48.55315,0.14,105.0,50350.0,-46.0,66.6,0 days 00:01:00
2000-08-09 07:29:00-12:00,45.60591,-48.55468,0.139,104.0,50350.0,-46.0,66.5,0 days 00:01:00
2000-08-09 07:30:00-12:00,45.60674,-48.55623,0.137,103.0,50352.0,-45.0,66.5,0 days 00:01:00
2000-08-09 07:31:00-12:00,45.60758,-48.55773,0.137,103.0,50357.0,-41.0,66.5,0 days 00:01:00
2000-08-09 07:39:00-12:00,45.61409,-48.56987,0.132,99.0,50363.0,-40.0,66.5,0 days 00:08:00
2000-08-09 07:40:00-12:00,45.61488,-48.57142,0.131,98.0,50364.0,-40.0,66.4,0 days 00:01:00
2000-08-09 07:41:00-12:00,45.61567,-48.57292,0.131,98.0,50368.0,-36.0,66.4,0 days 00:01:00
2000-08-09 07:42:00-12:00,45.61649,-48.57442,0.13,98.0,50366.0,-39.0,66.4,0 days 00:01:00
2000-08-09 07:43:00-12:00,45.61729,-48.57595,0.13,98.0,50365.0,-41.0,66.4,0 days 00:01:00
2000-08-09 07:44:00-12:00,45.61811,-48.57751,0.13,98.0,50366.0,-40.0,66.5,0 days 00:01:00
2000-08-09 07:45:00-12:00,45.61893,-48.57908,0.129,97.0,50365.0,-42.0,66.5,0 days 00:01:00
2000-08-09 07:46:00-12:00,45.61973,-48.58063,0.129,97.0,50367.0,-40.0,66.3,0 days 00:01:00
2000-08-09 07:47:00-12:00,45.62053,-48.58214,0.129,97.0,50366.0,-43.0,66.2,0 days 00:01:00
