,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2001-03-18 17:49:00-12:00,30.37838,-43.24245,4.125,3103.0,41538.0,91.0,42.9,0 days 00:01:00
2001-03-18 17:50:00-12:00,30.37805,-43.23901,4.364,3284.0,41541.0,95.0,43.0,0 days 00:01:00
2001-03-18 17:51:00-12:00,30.37772,-43.23559,4.364,3284.0,41548.0,103.0,43.1,0 days 00:01:00
2001-03-18 17:52:00-12:00,30.3774,-43.23216,4.371,3289.0,41545.0,100.0,43.1,0 days 00:01:00
2001-03-18 17:53:00-12:00,30.37708,-43.2287,4.373,3291.0,41545.0,101.0,43.4,0 days 00:01:00
2001-03-18 17:54:00-12:00,30.37675,-43.22525,4.373,3291.0,41541.0,97.0,43.7,0 days 00:01:00
2001-03-18 17:55:00-12:00,30.37642,-43.22183,4.369,3288.0,41538.0,95.0,43.2,0 days 00:01:00
2001-03-18 17:56:00-12:00,30.3761,-43.2184,4.364,3284.0,41535.0,93.0,44.0,0 days 00:01:00
2001-03-18 17:57:00-12:00,30.37576,-43.21497,4.364,3284.0,41527.0,86.0,46.9,0 days 00:01:00
2001-03-18 17:58:00-12:00,30.37536,-43.21158,4.358,3279.0,41525.0,84.0,48.8,0 days 00:01:00
2001-03-18 17:59:00-12:00,30.37389,-43.20874,4.354,3277.0,41522.0,82.0,49.5,0 days 00:01:00
2001-03-18 18:00:00-12:00,30.3726,-43.20573,4.354,3277.0,41522.0,83.0,48.6,0 days 00:01:00
2001-03-18 18:10:00-12:00,30.36251,-43.17439,4.081,3070.0,41526.0,98.0,58.4,0 days 00:10:00
2001-03-18 18:11:00-12:00,30.36065,-43.17177,3.883,2919.0,41525.0,98.0,60.4,0 days 00:01:00
2001-03-18 18:12:00-12:00,30.35872,-43.16931,3.804,2860.0,41524.0,99.0,60.4,0 days 00:01:00
2001-03-18 18:13:00-12:00,30.3576,-43.16632,3.637,2734.0,41524.0,100.0,58.5,0 days 00:01:00
2001-03-18 18:14:00-12:00,30.35778,-43.16304,3.512,2640.0,41522.0,99.0,54.9,0 days 00:01:00
2001-03-18 18:20:00-12:00,30.35935,-43.14303,3.984,2996.0,41419.0,-3.0,60.1,0 days 00:06:00
2001-03-18 18:30:00-12:00,30.36991,-43.19621,4.297,3233.0,41528.0,93.0,47.1,0 days 00:10:00
2001-03-18 18:33:00-12:00,30.35388,-43.10013,3.374,2535.0,41262.0,-149.0,67.0,0 days 00:03:00
2001-03-18 18:34:00-12:00,30.35331,-43.09678,3.214,2415.0,41262.0,-148.0,67.5,0 days 00:01:00
2001-03-18 18:35:00-12:00,30.35276,-43.09345,3.409,2563.0,41257.0,-153.0,67.9,0 days 00:01:00
2001-03-18 18:36:00-12:00,30.3522,-43.09011,3.489,2623.0,41248.0,-161.0,68.3,0 days 00:01:00
2001-03-18 18:37:00-12:00,30.3516,-43.08685,3.477,2614.0,41254.0,-155.0,68.7,0 days 00:01:00
2001-03-18 18:38:00-12:00,30.35109,-43.08356,3.58,2691.0,41253.0,-155.0,69.2,0 days 00:01:00
2001-03-18 18:39:00-12:00,30.35057,-43.08032,3.577,2689.0,41252.0,-155.0,69.6,0 days 00:01:00
2001-03-18 18:40:00-12:00,30.35001,-43.07709,3.573,2686.0,41255.0,-151.0,69.9,0 days 00:01:00
2001-03-18 18:41:00-12:00,30.34943,-43.07388,3.574,2686.0,41261.0,-144.0,70.2,0 days 00:01:00
2001-03-18 18:42:00-12:00,30.34885,-43.07065,3.564,2679.0,41266.0,-138.0,70.5,0 days 00:01:00
2001-03-18 18:43:00-12:00,30.34831,-43.06744,3.556,2673.0,41269.0,-134.0,70.6,0 days 00:01:00
2001-03-18 18:44:00-12:00,30.34774,-43.06417,3.556,2673.0,41274.0,-128.0,70.8,0 days 00:01:00
2001-03-18 18:45:00-12:00,30.34717,-43.06083,3.606,2710.0,41281.0,-120.0,71.2,0 days 00:01:00
2001-03-18 18:50:00-12:00,30.36825,-43.18974,4.302,3236.0,41526.0,93.0,48.6,0 days 00:05:00
2001-03-18 18:55:00-12:00,30.34143,-43.02756,2.956,2222.0,41376.0,-17.0,79.7,0 days 00:05:00
2001-03-18 18:56:00-12:00,30.3409,-43.02419,3.062,2301.0,41380.0,-12.0,80.6,0 days 00:01:00
2001-03-18 18:57:00-12:00,30.34028,-43.02083,3.134,2355.0,41386.0,-6.0,81.7,0 days 00:01:00
2001-03-18 18:58:00-12:00,30.33972,-43.01755,3.222,2421.0,41389.0,-2.0,82.7,0 days 00:01:00
2001-03-18 18:59:00-12:00,30.33917,-43.01426,3.257,2448.0,41392.0,2.0,83.6,0 days 00:01:00
2001-03-18 19:00:00-12:00,30.33862,-43.01093,3.262,2451.0,41396.0,6.0,84.1,0 days 00:01:00
2001-03-18 19:10:00-12:00,30.33377,-42.98255,2.906,2185.0,41417.0,42.0,96.4,0 days 00:10:00
2001-03-18 19:20:00-12:00,30.33751,-43.00435,3.272,2459.0,41403.0,15.0,84.8,0 days 00:10:00
2001-03-18 19:30:00-12:00,30.3271,-42.94286,2.42,1820.0,41218.0,-148.0,98.4,0 days 00:10:00
2001-03-18 19:31:00-12:00,30.32676,-42.94095,2.459,1849.0,41216.0,-149.0,98.1,0 days 00:01:00
2001-03-18 19:32:00-12:00,30.32643,-42.93903,2.477,1863.0,41210.0,-155.0,97.7,0 days 00:01:00
2001-03-18 19:33:00-12:00,30.32606,-42.93714,2.463,1852.0,41205.0,-159.0,97.3,0 days 00:01:00
2001-03-18 19:34:00-12:00,30.32571,-42.93528,2.457,1848.0,41204.0,-159.0,96.8,0 days 00:01:00
2001-03-18 19:35:00-12:00,30.32541,-42.93341,2.433,1830.0,41205.0,-158.0,96.0,0 days 00:01:00
2001-03-18 19:36:00-12:00,30.32512,-42.93152,2.501,1881.0,41207.0,-156.0,95.1,0 days 00:01:00
2001-03-18 19:37:00-12:00,30.32481,-42.92963,2.532,1904.0,41212.0,-150.0,93.9,0 days 00:01:00
2001-03-18 19:38:00-12:00,30.32451,-42.92774,2.549,1917.0,41212.0,-149.0,92.8,0 days 00:01:00
2001-03-18 19:40:00-12:00,30.32387,-42.92396,2.593,1950.0,41226.0,-135.0,91.2,0 days 00:02:00
2001-03-18 19:50:00-12:00,30.33586,-42.99505,2.902,2181.0,41416.0,38.0,89.6,0 days 00:10:00
2001-03-18 19:51:00-12:00,30.32032,-42.90314,3.348,2517.0,41320.0,-35.0,76.7,0 days 00:01:00
2001-03-18 19:52:00-12:00,30.31997,-42.90125,3.37,2534.0,41321.0,-34.0,75.2,0 days 00:01:00
2001-03-18 19:53:00-12:00,30.31964,-42.89935,3.422,2572.0,41330.0,-24.0,73.7,0 days 00:01:00
2001-03-18 19:54:00-12:00,30.31929,-42.89745,3.466,2606.0,41331.0,-23.0,72.3,0 days 00:01:00
2001-03-18 19:55:00-12:00,30.31898,-42.89556,3.528,2652.0,41339.0,-15.0,70.9,0 days 00:01:00
2001-03-18 19:56:00-12:00,30.31865,-42.89369,3.562,2678.0,41345.0,-8.0,69.6,0 days 00:01:00
2001-03-18 19:57:00-12:00,30.31832,-42.8918,3.605,2710.0,41347.0,-6.0,68.4,0 days 00:01:00
2001-03-18 19:58:00-12:00,30.31802,-42.88992,3.68,2767.0,41352.0,-1.0,67.0,0 days 00:01:00
2001-03-18 19:59:00-12:00,30.31769,-42.88801,3.779,2841.0,41356.0,4.0,65.8,0 days 00:01:00
2001-03-18 20:00:00-12:00,30.31738,-42.88612,3.852,2896.0,41358.0,7.0,64.5,0 days 00:01:00
2001-03-18 20:10:00-12:00,30.31704,-42.88422,3.906,2937.0,41362.0,11.0,63.4,0 days 00:10:00
2001-03-18 20:11:00-12:00,30.31386,-42.86543,4.021,3024.0,41389.0,42.0,55.0,0 days 00:01:00
2001-03-18 20:12:00-12:00,30.31355,-42.86351,4.024,3026.0,41390.0,44.0,54.6,0 days 00:01:00
2001-03-18 20:13:00-12:00,30.31318,-42.86161,4.032,3032.0,41391.0,45.0,54.3,0 days 00:01:00
2001-03-18 20:14:00-12:00,30.31288,-42.8597,4.03,3030.0,41392.0,47.0,54.0,0 days 00:01:00
2001-03-18 20:15:00-12:00,30.31254,-42.85781,4.032,3032.0,41393.0,48.0,53.7,0 days 00:01:00
2001-03-18 20:16:00-12:00,30.31223,-42.85592,4.033,3033.0,41393.0,49.0,53.4,0 days 00:01:00
2001-03-18 20:17:00-12:00,30.31195,-42.85399,4.009,3015.0,41391.0,47.0,53.5,0 days 00:01:00
2001-03-18 20:18:00-12:00,30.31162,-42.85207,3.958,2976.0,41391.0,47.0,53.2,0 days 00:01:00
2001-03-18 20:19:00-12:00,30.31129,-42.85017,3.937,2961.0,41390.0,48.0,53.0,0 days 00:01:00
2001-03-18 20:20:00-12:00,30.31092,-42.84828,3.918,2945.0,41388.0,45.0,53.2,0 days 00:01:00
2001-03-18 20:21:00-12:00,30.31061,-42.84639,3.894,2927.0,41384.0,42.0,53.1,0 days 00:01:00
2001-03-18 20:22:00-12:00,30.31032,-42.84445,3.889,2924.0,41382.0,40.0,52.7,0 days 00:01:00
2001-03-18 20:23:00-12:00,30.31,-42.84256,3.896,2929.0,41376.0,35.0,52.4,0 days 00:01:00
2001-03-18 20:24:00-12:00,30.30968,-42.84069,3.866,2907.0,41372.0,32.0,52.4,0 days 00:01:00
2001-03-18 20:30:00-12:00,30.31641,-42.88052,4.017,3021.0,41371.0,20.0,61.4,0 days 00:06:00
2001-03-18 20:40:00-12:00,30.31611,-42.87864,4.016,3020.0,41373.0,24.0,60.3,0 days 00:10:00
2001-03-18 20:50:00-12:00,30.3158,-42.87677,4.013,3018.0,41374.0,25.0,59.2,0 days 00:10:00
