,LAT,LON,CORR_DEPTH,MAG_TOT,MAG_TOT2,MAG_RES,GRA_OBS,EOTVOS,FREEAIR,LINEID,DT
2017-09-27 22:37:00+00:00,-27.13866,72.57732,3759.9,47116.4,47116.1,58.3,979095.3,-34.0,-11.9,7-120,0 days 00:01:00
2017-09-27 22:38:00+00:00,-27.13694,72.57571,3744.3,47115.6,47115.1,57.7,979095.3,-34.2,-11.9,7-120,0 days 00:01:00
2017-09-27 22:39:00+00:00,-27.13521,72.57409,3722.2,47113.4,47114.3,57.7,979094.8,-34.4,-11.8,7-120,0 days 00:01:00
2017-09-27 22:40:00+00:00,-27.13349,72.57247,3758.9,47113.0,47112.8,58.2,979094.8,-34.7,-11.8,7-120,0 days 00:01:00
2017-09-27 22:41:00+00:00,-27.13179,72.57083,3743.6,47111.8,47111.3,58.0,979095.8,-34.2,-11.6,7-120,0 days 00:01:00
2017-09-27 22:42:00+00:00,-27.13008,72.56924,3771.3,47112.0,47110.9,58.4,979095.4,-33.5,-11.3,7-120,0 days 00:01:00
2017-09-27 22:43:00+00:00,-27.12835,72.56768,3777.1,47110.5,47129.7,58.8,979094.9,-33.2,-11.1,7-120,0 days 00:01:00
2017-09-27 22:44:00+00:00,-27.12661,72.56611,3735.7,47108.7,47110.6,59.6,979094.4,-33.9,-11.2,7-120,0 days 00:01:00
2017-09-27 22:45:00+00:00,-27.12489,72.5645,3781.9,47109.8,47110.3,60.8,979095.3,-34.0,-11.2,7-120,0 days 00:01:00
2017-09-27 22:46:00+00:00,-27.12319,72.56289,3735.9,47110.6,47110.4,62.0,979095.1,-34.0,-11.1,7-120,0 days 00:01:00
2017-09-27 22:47:00+00:00,-27.1215,72.5613,3764.1,47110.9,47111.9,63.4,979095.6,-33.2,-11.1,7-120,0 days 00:01:00
2017-09-27 22:48:00+00:00,-27.11981,72.55974,3763.8,47110.2,47111.1,65.0,979094.4,-33.1,-11.2,7-120,0 days 00:01:00
2017-09-27 22:49:00+00:00,-27.11812,72.5582,3777.3,47111.5,47112.9,66.8,979093.7,-32.9,-11.1,7-120,0 days 00:01:00
2017-09-27 22:50:00+00:00,-27.11641,72.55665,3761.1,47112.0,47112.0,68.3,979094.3,-33.3,-11.2,7-120,0 days 00:01:00
2017-09-27 22:51:00+00:00,-27.1147,72.55507,3754.6,47113.8,47110.6,69.8,979094.3,-33.8,-11.2,7-120,0 days 00:01:00
2017-09-27 22:52:00+00:00,-27.11298,72.55347,3751.4,47113.3,47113.7,70.9,979094.1,-34.4,-11.1,7-120,0 days 00:01:00
2017-09-27 22:53:00+00:00,-27.11126,72.55185,3746.7,47110.8,47111.6,70.4,979093.9,-34.5,-11.1,7-120,0 days 00:01:00
2017-09-27 22:54:00+00:00,-27.10955,72.55023,3753.2,47109.5,47109.8,68.7,979094.0,-34.2,-11.1,7-120,0 days 00:01:00
2017-09-27 22:55:00+00:00,-27.10786,72.54863,3748.6,47108.1,47107.3,68.2,979094.1,-33.8,-10.9,7-120,0 days 00:01:00
2017-09-27 22:56:00+00:00,-27.10617,72.54703,3747.8,47106.5,47107.1,68.5,979093.9,-33.9,-10.9,7-120,0 days 00:01:00
2017-09-27 22:57:00+00:00,-27.10448,72.54543,3749.3,47104.8,47105.7,67.8,979093.8,-33.6,-10.9,7-120,0 days 00:01:00
2017-09-27 22:58:00+00:00,-27.10278,72.54386,3740.8,47102.5,47103.8,66.4,979093.4,-33.7,-10.8,7-120,0 days 00:01:00
2017-09-27 22:59:00+00:00,-27.10108,72.54229,3757.7,47100.5,47101.2,65.1,979093.5,-33.2,-10.8,7-120,0 days 00:01:00
2017-09-27 23:00:00+00:00,-27.09939,72.54073,3759.3,47097.8,47099.6,63.5,979093.6,-33.2,-10.8,7-120,0 days 00:01:00
2017-09-27 23:01:00+00:00,-27.09769,72.53917,3780.2,47093.6,47095.8,60.5,979093.1,-33.2,-10.8,7-120,0 days 00:01:00
2017-09-27 23:02:00+00:00,-27.09601,72.5376,3727.2,47086.7,47090.9,56.6,979093.5,-33.5,-10.8,7-120,0 days 00:01:00
2017-09-27 23:03:00+00:00,-27.09433,72.53601,3745.8,47071.3,47086.9,53.3,979093.1,-33.9,-10.9,7-120,0 days 00:01:00
2017-09-27 23:04:00+00:00,-27.09263,72.53441,3739.7,47080.9,47084.1,49.8,979092.9,-34.5,-10.7,7-120,0 days 00:01:00
2017-09-27 23:05:00+00:00,-27.09093,72.53278,3789.6,47074.9,47077.0,45.0,979092.4,-34.8,-10.4,7-120,0 days 00:01:00
2017-09-27 23:06:00+00:00,-27.08925,72.53114,3806.1,47069.1,47072.2,41.0,979093.5,-34.7,-10.4,7-120,0 days 00:01:00
2017-09-27 23:07:00+00:00,-27.08756,72.5295,3747.0,47066.3,47070.2,38.2,979093.6,-34.0,-10.3,7-120,0 days 00:01:00
2017-09-27 23:08:00+00:00,-27.08584,72.52791,3712.8,47058.6,47056.2,33.8,979092.9,-33.9,-10.3,7-120,0 days 00:01:00
