,LAT,LON,BAT_TTIME,CORR_DEPTH,MAG_TOT,MAG_RES,FREEAIR,DT
2001-10-17 10:20:00-12:00,-24.92328,91.75964,5.999,4510.0,52779.0,142.0,19.4,0 days 00:01:00
2001-10-17 10:21:00-12:00,-24.92444,91.7625,5.983,4498.0,52786.0,148.0,20.2,0 days 00:01:00
2001-10-17 10:22:00-12:00,-24.92555,91.76537,5.92,4450.0,52792.0,152.0,21.5,0 days 00:01:00
2001-10-17 10:23:00-12:00,-24.92668,91.76826,5.862,4405.0,52797.0,157.0,22.4,0 days 00:01:00
2001-10-17 10:24:00-12:00,-24.92779,91.77109,5.789,4350.0,52806.0,164.0,22.7,0 days 00:01:00
2001-10-17 10:25:00-12:00,-24.92891,91.77393,5.85,4397.0,52811.0,168.0,23.0,0 days 00:01:00
2001-10-17 10:26:00-12:00,-24.93004,91.7768,5.692,4275.0,52817.0,173.0,23.7,0 days 00:01:00
2001-10-17 10:27:00-12:00,-24.93119,91.77969,5.676,4263.0,52821.0,176.0,24.0,0 days 00:01:00
2001-10-17 10:28:00-12:00,-24.93234,91.78257,5.68,4266.0,52823.0,177.0,24.3,0 days 00:01:00
2001-10-17 10:29:00-12:00,-24.93349,91.78548,5.668,4257.0,52826.0,178.0,24.6,0 days 00:01:00
2001-10-17 10:30:00-12:00,-24.93464,91.78841,5.668,4257.0,52828.0,179.0,25.2,0 days 00:01:00
2001-10-17 10:31:00-12:00,-24.93582,91.79133,5.671,4259.0,52830.0,179.0,25.6,0 days 00:01:00
2001-10-17 10:32:00-12:00,-24.93695,91.79425,5.676,4263.0,52831.0,179.0,26.0,0 days 00:01:00
2001-10-17 10:33:00-12:00,-24.93811,91.79714,5.672,4260.0,52830.0,177.0,26.5,0 days 00:01:00
2001-10-17 10:34:00-12:00,-24.93927,91.80001,5.657,4249.0,52831.0,177.0,27.3,0 days 00:01:00
2001-10-17 10:35:00-12:00,-24.94039,91.8029,5.652,4245.0,52831.0,176.0,28.0,0 days 00:01:00
2001-10-17 10:36:00-12:00,-24.94152,91.80573,5.617,4218.0,52828.0,172.0,28.4,0 days 00:01:00
2001-10-17 10:37:00-12:00,-24.9426,91.80853,5.595,4201.0,52827.0,170.0,28.7,0 days 00:01:00
2001-10-17 10:38:00-12:00,-24.94374,91.81139,5.581,4191.0,52824.0,166.0,28.8,0 days 00:01:00
2001-10-17 10:39:00-12:00,-24.94487,91.81426,5.553,4170.0,52824.0,164.0,28.9,0 days 00:01:00
